horizon_y,set,n,cif_cvd,cif_cvd_lo,cif_cvd_hi,cif_competing
5.0,full cohort,41151,0.015860853856839094,0.01468009942155209,0.017136689826457815,0.03902601157343028
5.0,complete cases,35314,0.013089642159282506,0.011967321858365155,0.014366243477368847,0.032758907301128376
5.0,incomplete cases,5837,0.03251818189978472,0.02812905839939671,0.03716760725673499,0.07666918951491856
10.0,full cohort,41151,0.036782810225446855,0.0347684703377194,0.03882308243954976,0.09299662325011095
10.0,complete cases,35314,0.032993447086403026,0.031022373636949634,0.0351156541120812,0.08364494738737119
10.0,incomplete cases,5837,0.05927317815074177,0.052074520199741854,0.06490791183339814,0.14822359661541581
