variable,n_missing,n_sole_cause_of_exclusion,pct_of_excluded_rows
egfr,4057,110,69.50488264519444
hdl,3961,1,67.86020215864313
totchol,3960,1,67.84307007024157
sbp,3324,1204,56.94706184683913
bmi,2372,419,40.63731368853863
