"model","term","est","se","lambda","fmi","df_br","ci_lo","ci_hi","fmi_max","fmi_upper","m_required","m_used"
"cause_specific_cvd","age",0.0795429947761068,0.00282562619848427,0.0169655076025781,0.0170348077328861,28856.9745932751,0.0740046368949362,0.0850813526572774,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","sex",0.446932780819636,0.0537674235781738,0.042543096203647,0.0427186499875822,11389.5200309972,0.341539366923267,0.552326194716004,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","sbp",0.00750683735906974,0.00121382292729126,0.143576105946174,0.145051265164745,1352.78585336516,0.00512565768143121,0.00988801703670828,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","antihtn",0.348494759893428,0.0547154746496561,0.0168382739334645,0.0169072711069981,28983.6946364797,0.241249921621039,0.455739598165818,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","totchol",-6.82784175221847e-06,0.000665657936537021,0.164693543582943,0.166616801135972,1036.90232449622,-0.0013130180941997,0.00129936241069526,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","hdl",-0.00230072912103751,0.00191110299552249,0.195355569661758,0.198037147678825,742.829503102608,-0.00605253517418246,0.00145107693210744,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","statin",-0.02113543041738,0.058103839424509,0.0187552455824692,0.0188290439740877,27097.8616331184,-0.135021949953158,0.0927510891183984,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","diabetes",0.525140288908942,0.0542689873258048,0.00758480754934761,0.00763776049031924,37766.3847273115,0.418771619293882,0.631508958524001,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","smoke_current",0.782866509083976,0.05762110915885,0.00955833725980764,0.00961372069750404,36108.8789874242,0.669927424682812,0.89580559348514,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","bmi",0.00757656290128016,0.00455994231200082,0.178426454705194,0.180673617391045,887.011218410461,-0.00137297153538501,0.0165260973379453,0.203816281126244,0.29806250839227,19,30
"cause_specific_cvd","egfr",-0.0133310503465768,0.00132830927825652,0.104797083994404,0.105607815260487,2463.90868314787,-0.0159357682170119,-0.0107263324761417,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","age",0.075453441562712,0.00173244367720988,0.0370288563755229,0.0371738734689404,13788.4776311397,0.0720576162620475,0.0788492668633766,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","sex",0.314623126634365,0.0338676365749746,0.0350075543063966,0.035142428021098,14825.6862597886,0.248238359080379,0.381007894188351,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","sbp",0.00174180236546093,0.00081408147228743,0.116051134091238,0.117033503661355,2032.89368078832,0.000145281456304204,0.00333832327461765,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","antihtn",0.112270897655509,0.0351736140735868,0.0120558159932689,0.0121150456798117,33763.8509954928,0.0433294094559324,0.181212385855085,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","totchol",-0.00195180381489231,0.000431271693786638,0.131702122152684,0.132952004645031,1597.15042393774,-0.00279772185397616,-0.00110588577580846,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","hdl",0.00207750724725817,0.00117590979062217,0.200981766699226,0.203816281126244,702.588223837007,-0.000231210753203468,0.00438622524771981,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","statin",-0.156809835639148,0.0390652745485611,0.0112868341426683,0.0113447878427616,34507.3073104829,-0.233379052510555,-0.0802406187677415,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","diabetes",0.43153329924676,0.0365605259934388,0.00608804163377854,0.00613950964916286,38856.0852992063,0.35987375285443,0.503192845639091,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","smoke_current",0.812029301243365,0.0357786850207764,0.00655651247953619,0.00660841201936462,38532.9871515513,0.74190216441694,0.88215643806979,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","bmi",-0.00377707910586476,0.003051321757269,0.180057398149928,0.182344725806834,871.382816979317,-0.00976587819317582,0.0022117199814463,0.203816281126244,0.29806250839227,19,30
"cause_specific_competing","egfr",-0.00835635113813725,0.000932772253598118,0.158361258915739,0.160143783090638,1119.00441832013,-0.0101865307272769,-0.00652617154899761,0.203816281126244,0.29806250839227,19,30
