split,contrast,model_a,model_b,tier,learner_matched,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero,note
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,ici_smoothfg,0.004820425232700954,0.0007803427796052849,0.0031020488960261283,0.0035458714454713403,0.006094979019930567,0.0006502747924211546,0.0043047530294512415,39951.12989718949,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,ici_smoothcsh,0.004585668351655644,-0.002765642721096605,0.0006581175880671752,0.0026762938175073645,0.006495042885803924,0.0009741594537947446,0.003122014771741711,40480.96251721504,30,False,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,ici_smoothnet,-0.004783817842333457,-0.005843863343755295,-0.005474779175364914,-0.00500799117723889,-0.004559644507428025,0.00011369781849662423,0.38516842550902114,204.03157958793201,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e50_smoothfg,9.955515143829e-05,-0.00100314388195902,-0.00022269774611531753,-0.0003069243613593406,0.0005060346642359206,0.0002073849361722045,0.0054035063097623405,39337.140436742244,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e50_smoothcsh,3.153839586965e-05,-0.00027964436944935995,0.0002646416533149949,-0.00023452587092979483,0.00029760266266909484,0.0001357440814412841,0.015955707901891443,29939.826917229402,30,False,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e50_smoothnet,0.00013982090675165003,0.0002654068446741325,0.000615103740677135,-2.5546841833195644e-05,0.0003051886553364957,8.436884987501315e-05,0.0204907122877251,25525.39078104341,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e90_smoothfg,0.015419750281884081,-0.003649052211684207,0.0028708574684055462,0.01168209061112667,0.019157409952641494,0.0019069296419855016,0.014967302211592886,30932.544250857616,30,False,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e90_smoothcsh,0.011989156365507117,-0.01567830480781853,-0.005262363171447099,0.006312645280197401,0.01766566745081683,0.0028961460544521637,0.002729437103656289,40624.74972289506,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e90_smoothnet,-0.01737890498688797,-0.019855392031302307,-0.01843926333539658,-0.01812146291695651,-0.016636347056819434,0.0003782862019220929,0.19121969496747876,794.9260516933322,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,ici_concordant_austin,4.420468784278666e-05,0.00014872834135122706,0.0009875587053207052,-0.00038007380163023114,0.0004684831773158044,0.0002164588249949927,0.02836827576878266,19027.884645854236,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e50_concordant_austin,5.425597143205667e-05,0.0006410843983592126,0.0010594731224673826,-0.0001627802493901919,0.00027129219225430527,0.00011072934422117704,0.021537231782934128,24564.231076382912,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e90_concordant_austin,-0.00106155404716389,-0.0016062953850602643,0.0006945974823001893,-0.002262597510712303,0.00013948941638452302,0.0006127500949914664,0.02799784040095539,19293.686741745267,30,False,"same Cox proportional hazards learner, competing death censored versus modelled"
cv,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,ici_smoothfg,0.006088735132046288,0.001315491064765208,0.0051625860212468015,0.004148310897820839,0.008029159366271736,0.0009899999211632664,0.005759485106208591,39114.94727842162,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
cv,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,ici_smoothcsh,0.005982139969988471,-0.003147862812741062,0.002626485766732143,0.0030154254140271897,0.008948854525949752,0.0015136086126108447,0.008194744469265228,37330.8927613581,30,False,"same random survival forest learner, logrank versus logrankCR splitting"
