split,contrast,model_a,model_b,tier,learner_matched,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero,note,interval_valid,interval_note
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_at_0.02,2.543792749444644e-05,-6.196360336616635e-05,0.0001487195375375,-8.210573803570507e-05,0.0001329815930245,5.449454308118887e-05,0.4147165230443591,176.75715879711208,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_at_0.03,-2.563362941145897e-05,-0.0001365781412459,0.0001095572602935,-0.0001511777589283,9.991050010540716e-05,6.3847860777725e-05,0.2814207129447675,375.5246350325664,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_at_0.05,5.107173540939887e-05,-0.0001201124337967,0.000249939225614,-0.0001374802509712,0.00023962372179,9.599576224700827e-05,0.228015860203824,565.2217573298394,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_at_0.075,0.0001818887966995,-4.828808159800246e-05,0.0004366992448922,-6.2470842409882e-05,0.0004262484358089,0.0001244989985005,0.1841933348691261,854.5768329069865,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_at_0.2,-8.299718944423754e-05,-0.000251325033605,0.0001052941663147,-0.0002617332080742,9.573882918575934e-05,9.105716529953318e-05,0.189436872471139,809.4549360811026,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,frac_above_0.01,0.0033494502305984,0.0029241740703582,0.0038152337074279,0.0028964124556394,0.0038024880055574,0.0002297457942083,0.3893585071637287,199.78911171237323,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,frac_above_0.02,0.0054182549317677,0.0048439502716064,0.0059698969125747,0.0048404361299097,0.0059960737336258,0.0002935726051216,0.3224931563551294,288.133009200969,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,frac_above_0.03,0.0072807734211285,0.0066259950399398,0.0079787373542785,0.0065997358446119,0.0079618109976452,0.0003461868803191,0.3023672668743843,326.59585931401864,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,frac_above_0.05,0.0081971826652685,0.007436029613018,0.0089750736951828,0.0074165799391378,0.0089777853913993,0.000396873951045,0.2942740876829147,344.2889091286676,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,frac_above_0.075,0.006809339299798,0.0061075873672962,0.0075251311063766,0.0060971188398615,0.0075215597597344,0.0003626347479169,0.2236877888247266,586.6387164999554,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,frac_above_0.2,0.0015198766680744,0.0011502354172989,0.0018954580882564,0.0011438272695126,0.0018959260666363,0.0001915067363071,0.2126150528435247,647.3430129033151,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_all_at_0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
