"task","n","mean_risk10","secs"
"rsf_cr__cvr0f3__imp3",8230,0.0369302468832209,195.38548541069
"rsf_cr__cvr0f4__imp3",8229,0.0370924778860093,200.661318778992
"rsf_cr__cvr1f0__imp3",8232,0.0364463551690269,199.859225273132
"rsf_cr__cvr1f1__imp3",8230,0.0371852435587686,197.944368600845
"rsf_cr__cvr1f2__imp3",8230,0.0371898018958513,199.882935762405
"rsf_cr__cvr1f3__imp3",8230,0.037379021781451,202.532985687256
"rsf_cr__cvr1f4__imp3",8229,0.0360731860051538,197.951943635941
"rsf_cr__cvr2f0__imp3",8232,0.0377032569126445,204.519398927689
"rsf_cr__cvr2f1__imp3",8230,0.0373447590702699,200.897033691406
"rsf_cr__cvr2f2__imp3",8230,0.0375311283248928,201.81370139122
"rsf_cr__cvr2f3__imp3",8230,0.0356533888394747,200.394408464432
"rsf_cr__cvr2f4__imp3",8229,0.0368258661351742,200.435883522034
"rsf_naive__temporal__imp4",9329,0.0488578366320573,45.7228081226349
"rsf_cr__temporal__imp4",9329,0.0424615412267115,95.7216203212738
"rsf_naive__cvr0f0__imp4",8232,0.043358491471597,104.700251102448
"rsf_naive__cvr0f1__imp4",8230,0.0428148820266623,105.624442815781
"rsf_naive__cvr0f2__imp4",8230,0.0413674510369566,103.663452863693
"rsf_naive__cvr0f3__imp4",8230,0.042420550112231,103.855072259903
"rsf_naive__cvr0f4__imp4",8229,0.0426321514426169,106.958795547485
"rsf_naive__cvr1f0__imp4",8232,0.042033909046264,104.946090698242
"rsf_naive__cvr1f1__imp4",8230,0.0426214147656168,103.312206745148
"rsf_naive__cvr1f2__imp4",8230,0.0435527462426548,105.536422967911
"rsf_naive__cvr1f3__imp4",8230,0.0446069473984834,106.662538290024
"rsf_naive__cvr1f4__imp4",8229,0.0424450316276018,103.939435958862
"rsf_naive__cvr2f0__imp4",8232,0.0442168093560926,105.153109073639
"rsf_naive__cvr2f1__imp4",8230,0.0424078771067267,106.861090421677
"rsf_naive__cvr2f2__imp4",8230,0.0440188699968575,108.142073392868
"rsf_naive__cvr2f3__imp4",8230,0.0418325322894325,103.466620922089
"rsf_naive__cvr2f4__imp4",8229,0.0433618098582369,104.900911808014
"rsf_cr__cvr0f0__imp4",8232,0.0368878818511993,200.140447616577
"rsf_cr__cvr0f1__imp4",8230,0.0375519231221995,195.640607833862
"rsf_cr__cvr0f2__imp4",8230,0.036582426041231,195.137033462524
"rsf_cr__cvr0f3__imp4",8230,0.0367991068799685,194.016834020615
"rsf_cr__cvr0f4__imp4",8229,0.0373139301957398,197.787555217743
"rsf_cr__cvr1f0__imp4",8232,0.0364868371077054,198.025722026825
"rsf_cr__cvr1f1__imp4",8230,0.0369855436730857,193.814545154572
