split,model,family,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,concordant_smoother,interval_valid,interval_note
cv,logistic,naive,5.0,mean_pred,0.0202680895105004,0.0198989707045257,0.0206314605660736,0.0199025791128122,0.0206335999081886,0.0001864608792508,0.0529876769966294,8224.598741552407,30,,True,
cv,logistic,naive,5.0,obs_cif,0.015860853716731,0.0146436920156702,0.017109671421349,0.0146278047107564,0.0170939027227056,0.0006290996904501,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,5.0,eo,1.2778687556584676,1.1847725689411164,1.384569251537323,1.1799184758465138,1.3758190354704214,0.0499740587705133,0.002968158502116,40539.27313401795,30,,True,
cv,logistic,naive,5.0,calib_intercept,-0.4190675973892211,-0.5372002020478248,-0.3069387666881084,-0.5372055411017448,-0.3009296536766975,0.0602722043133262,0.0248843018255903,21684.878361397023,30,,True,
cv,logistic,naive,5.0,calib_slope,0.7813119272391001,0.7059615403413773,0.8744664579629897,0.6982260562714919,0.8643977982067084,0.0423864399510025,0.0464331112524913,10081.370787520616,30,,True,
cv,logistic,naive,5.0,ici,0.005043713391448,0.0038348062953446,0.0064946071477606,0.0036611794113871,0.0064262473715089,0.0007052168081338,0.0713731552703594,5003.556140569258,30,,True,
cv,logistic,naive,5.0,e50,0.0021545990292603,0.000624330008577,0.0033322722767479,0.0007789837106842,0.0035302143478365,0.000701695244669,0.0695199427845213,5237.283963206173,30,,True,
cv,logistic,naive,5.0,e90,0.0076806086425979,0.0047221642336808,0.01275517384056,0.0034645480466798,0.0118966692385161,0.0021505191711162,0.0753108965893075,4554.282188130157,30,,True,
cv,logistic,naive,5.0,obs_concordant,0.0161766298115253,0.0149396675173193,0.0174562618136405,0.0149175846628729,0.0174356749601777,0.0006423628821256,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,5.0,eo_concordant,1.252924108505249,1.161466339230537,1.3575880199670791,1.1568302779943096,1.3490179390161885,0.049026901680173,0.0029647648505501,40540.53097758672,30,,True,
cv,logistic,naive,5.0,calib_intercept_concordant,-0.3860525329907735,-0.503566138446331,-0.2743555791676045,-0.5035602347312279,-0.2685448312503192,0.0599507173405393,0.0244582658057168,22033.945873366083,30,,True,
cv,logistic,naive,5.0,calib_slope_concordant,0.7858623822530111,0.711086830496788,0.8782344326376915,0.7036322617896651,0.8680925027163571,0.0419497870723801,0.0469838856831826,9904.644315088488,30,,True,
cv,logistic,naive,5.0,ici_concordant,0.0048014611161003,0.0036008646828122,0.006240389146842,0.0034287151018017,0.0061742071303989,0.0007001673844011,0.08399501206196,3749.2614488489785,30,,True,
cv,logistic,naive,5.0,e50_concordant,0.00211123295594,0.0008203603560104,0.0033194739429745,0.0008620622737844,0.0033604036380957,0.0006372528956262,0.0519088174132074,8496.112105156439,30,,True,
cv,logistic,naive,5.0,e90_concordant,0.0061888814127693,0.0040617093793116,0.0113761172164231,0.0024198543798572,0.0099579084456814,0.0019225009587153,0.0749999713037254,4587.596723609932,30,,True,
cv,logistic,naive,5.0,auc,0.8363267521063487,0.8219003975391388,0.851945823431015,0.821444114344535,0.8512093898681623,0.0075928765380227,0.0262142758755333,20628.98729955824,30,,True,
cv,logistic,naive,5.0,cindex,0.8352420051892598,0.8196050390601158,0.8513254404067992,0.8197755644820356,0.8507084458964841,0.007890694226631,0.0278307492345341,19414.87218349264,30,,True,
cv,logistic,naive,5.0,auc_marginal_ipcw,0.8354120850563049,0.8208661153912544,0.8513430431485176,0.8203878813937018,0.8504362887189081,0.0076651491117506,0.0232027791025724,23092.700263487248,30,,True,
cv,logistic,naive,5.0,cindex_marginal_ipcw,0.8321273148059845,0.8176965445280076,0.8479332908987999,0.8171944085069155,0.8470602211050534,0.007618573742716,0.0229778405833249,23287.06023851961,30,,True,
cv,logistic,naive,5.0,at_risk_fraction,0.7978907227516174,0.7939290881156922,0.801730215549469,0.7940450630526071,0.8017363824506277,0.001962049614007,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,5.0,nb_at_0.01,0.0102234776442249,0.0090299551840871,0.0114207538776099,0.0090219450982631,0.0114250101901867,0.0006130194266421,0.0046108816163472,39791.37101232673,30,,True,
cv,logistic,naive,5.0,nb_at_0.02,0.0073788355880727,0.0062765684793703,0.0085193543229252,0.0062461919154384,0.008511479260707,0.0005778692716373,0.0122157774150476,33673.016426724105,30,,True,
cv,logistic,naive,5.0,nb_at_0.03,0.0052351616012553,0.0042039086576551,0.006333459180314,0.004155778803755,0.0063145443987556,0.0005506562949608,0.0431313805792513,11234.219671251702,30,,True,
cv,logistic,naive,5.0,nb_at_0.05,0.0029120081104338,0.0020289109786972,0.0038348468893673,0.0019805614589319,0.0038434547619356,0.0004751972252113,0.0355669284058768,14602.621117069324,30,,True,
cv,logistic,naive,5.0,nb_at_0.075,0.0012632664603491,0.0004929909337079,0.002081692032516,0.0004646825743193,0.0020618503463789,0.0004073651410746,0.0646306858436134,5934.237807647764,30,,True,
cv,logistic,naive,5.0,nb_at_0.2,-0.0007595999146966,-0.0011345517472364,-0.0003631878593296,-0.0011433968468818,-0.0003758029825115,0.0001956494479947,0.142303295990775,1403.149394124552,30,,True,
cv,logistic,naive,5.0,frac_above_0.01,0.4192286401987076,0.4130478799343109,0.4254655539989471,0.4128415969743292,0.4256156834230859,0.0032385670999302,0.3938876767655708,195.3523295403889,30,,True,
cv,logistic,naive,5.0,frac_above_0.02,0.2729921529690424,0.267535001039505,0.2784460484981537,0.2673783210520421,0.2786059848860427,0.0028468684625573,0.3897491128482394,199.4004682612188,30,,True,
cv,logistic,naive,5.0,frac_above_0.03,0.1935808236400286,0.1888086944818496,0.1982535868883133,0.1887384234826021,0.1984232237974551,0.0024585676213191,0.3488525883541205,247.32060584796875,30,,True,
cv,logistic,naive,5.0,frac_above_0.05,0.10942490970095,0.1063076630234718,0.1126179633662104,0.1062430717457141,0.1126067476561858,0.001622238942276,0.1299260821832902,1668.5642116853603,30,,True,
cv,logistic,naive,5.0,frac_above_0.075,0.0608180171499649,0.0584999956190586,0.063327744603157,0.0584021986742563,0.0632338356256736,0.0012316303320847,0.1343451620200922,1565.818733562142,30,,True,
cv,logistic,naive,5.0,frac_above_0.2,0.0071746602964897,0.0061318883672356,0.0082217520102858,0.0060983037772852,0.0082510168156943,0.0005445870853334,0.4593597597951651,144.96532111121147,30,,True,
cv,logistic,naive,5.0,nb_all_at_0.01,0.0059200543910264,0.0046905977185815,0.0071814869646914,0.0046745503315151,0.0071655584505378,0.0006354542394474,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,5.0,nb_all_at_0.02,-0.0042236186563968,-0.00546562083764,-0.0029493141395505,-0.0054818319070352,-0.0029654054057584,0.0006419384490491,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,5.0,nb_all_at_0.03,-0.0145764397457242,-0.0158312449697405,-0.0132889978354796,-0.0158476242494008,-0.0133052552420475,0.0006485563622315,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,5.0,nb_all_at_0.05,-0.0359359420835971,-0.0372171682305634,-0.0346213974058628,-0.0372338883838875,-0.0346379957833067,0.0006622101893576,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,5.0,nb_all_at_0.075,-0.063934214413166,-0.0652500601485371,-0.062584138661623,-0.0652672404432622,-0.0626011883830699,0.0006801078130975,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,5.0,nb_all_at_0.2,-0.2301739305257797,-0.2316953845322132,-0.2286129038780927,-0.2317152418164544,-0.228632619235105,0.0007863746300046,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,mean_pred,0.0607805057118336,0.059811730030924,0.0617431671358644,0.0598125092633487,0.0617485021603185,0.0004938251447995,0.0466285473302407,10018.179990293462,30,,True,
cv,logistic,naive,10.0,obs_cif,0.0367828086018562,0.0347764777950942,0.0389350767247378,0.0346059341122686,0.0389596830914438,0.0011106379883628,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,eo,1.652416034539541,1.5597645193338394,1.7447618663311004,1.5571437863458033,1.747688282733278,0.0486077227321,0.0035915546892469,40287.66526663649,30,,True,
cv,logistic,naive,10.0,calib_intercept,-0.7446013530095418,-0.8275184497237206,-0.6650585100054741,-0.8273476874363243,-0.6618550185827593,0.0422164517978402,0.0181649074178536,27748.271959637685,30,,True,
cv,logistic,naive,10.0,calib_slope,0.7217309395472209,0.6744322061538697,0.7755332320928574,0.6712244563082148,0.772237422786227,0.0257680194991473,0.0166890692694805,29206.51830603201,30,,True,
cv,logistic,naive,10.0,ici,0.0253378447766105,0.0228726299945265,0.0276156661100685,0.0229029948672663,0.0277726946859547,0.0012422445093851,0.0150116058167729,30888.008388521444,30,,True,
cv,logistic,naive,10.0,e50,0.0099729323138793,0.0049954388057813,0.0151615586364641,0.0048011955921489,0.0151446690356097,0.0026385130677544,0.0297298769615083,18084.443592845382,30,,True,
cv,logistic,naive,10.0,e90,0.0684070972104867,0.0600053763017058,0.0756868975237011,0.0604287140508664,0.076385480370107,0.0040705045595482,0.0175690732530232,28333.52807087844,30,,True,
cv,logistic,naive,10.0,obs_concordant,0.0386035181581974,0.0364839544519782,0.0408451026305555,0.0363050288648722,0.0409020074515225,0.0011726856726112,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,eo_concordant,1.574480930964152,1.4862587928771973,1.6637058049440383,1.4833003335259234,1.6656615284023808,0.0465201706433497,0.0035603922624181,40301.20125780798,30,,True,
cv,logistic,naive,10.0,calib_intercept_concordant,-0.6587901930014293,-0.7410454496741294,-0.579579582810402,-0.7411704797189727,-0.5764099062838859,0.0420297474860266,0.0173738597550504,28526.377600456664,30,,True,
cv,logistic,naive,10.0,calib_slope_concordant,0.7357552866141002,0.6897890210151673,0.7883787885308264,0.6865168255432004,0.784993747685,0.025121063999317,0.0172520907134871,28646.92207071285,30,,True,
cv,logistic,naive,10.0,ici_concordant,0.023242773177723,0.0207498903386294,0.0255696145351976,0.0207745338538292,0.0257110125016169,0.0012592835351022,0.0123043464171251,33586.38864001703,30,,True,
cv,logistic,naive,10.0,e50_concordant,0.0099622000940144,0.0061793943867087,0.0136727061355486,0.0061786478829582,0.0137457523050705,0.0019303283583731,0.0202975379381194,25705.67756956561,30,,True,
cv,logistic,naive,10.0,e90_concordant,0.0593584641814231,0.0505621291697025,0.0671932999044656,0.050880013391752,0.0678369149710943,0.0043256447822524,0.0159602415180514,29935.28201183921,30,,True,
cv,logistic,naive,10.0,auc,0.822193052371343,0.8113271936774253,0.8334435299038887,0.8110639645318379,0.833322140210848,0.0056779682747696,0.0175145289525305,28387.36066950305,30,,True,
cv,logistic,naive,10.0,cindex,0.8306650618712107,0.8183008879423141,0.8434909120202064,0.8181100889437937,0.8432200347986277,0.0064054621587848,0.0153707922437691,30526.98716697095,30,,True,
cv,logistic,naive,10.0,auc_marginal_ipcw,0.8295658429463705,0.8184842899441719,0.8406111881136894,0.8183473201134762,0.8407843657792647,0.0057236239848073,0.0140264517206701,31877.273922789984,30,,True,
cv,logistic,naive,10.0,cindex_marginal_ipcw,0.8242044727007548,0.813678503036499,0.8350822642445564,0.8132907194323078,0.8351182259692018,0.0055681344987451,0.0137003186743856,32203.658630696667,30,,True,
cv,logistic,naive,10.0,at_risk_fraction,0.5525503754615784,0.54790707975626,0.5570222854614257,0.5478463406041338,0.5572544103190229,0.0023999912885427,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,nb_at_0.01,0.0294997060050567,0.027491585817188,0.031604557018727,0.027335576674331,0.0316638353357823,0.0011041353048823,0.0013685916875823,40992.5111145341,30,,True,
cv,logistic,naive,10.0,nb_at_0.02,0.0248297543575366,0.0228380432352423,0.0269766724202781,0.0226758355993686,0.0269836731157046,0.0010989257271987,0.0022030610157544,40791.394693989896,30,,True,
cv,logistic,naive,10.0,nb_at_0.03,0.0211971782147884,0.0192545804660767,0.0233652614057064,0.0190675891473515,0.0233267672822253,0.0010865126226997,0.0027474272759113,40618.52138994356,30,,True,
cv,logistic,naive,10.0,nb_at_0.05,0.0155028156004846,0.0135322756599634,0.0175879718270152,0.0134305221059909,0.0175751090949782,0.0010572781993647,0.0075676220212303,37830.31860803578,30,,True,
cv,logistic,naive,10.0,nb_at_0.075,0.009535740657399,0.0076708895270712,0.0114820701535791,0.0075755624505748,0.0114959188642233,0.0010000668095247,0.0174113979059675,28489.254984653617,30,,True,
cv,logistic,naive,10.0,nb_at_0.2,-0.0032172475941479,-0.0047162761911749,-0.0016909213911276,-0.0047403293716411,-0.0016941658166547,0.0007770143913063,0.0426651364911225,11410.853099820768,30,,True,
cv,logistic,naive,10.0,frac_above_0.01,0.6331853667894999,0.6278664469718933,0.6380727887153625,0.6279640213592189,0.6384067122197808,0.0026601821689846,0.1853402145506503,844.3903693518005,30,,True,
cv,logistic,naive,10.0,frac_above_0.02,0.4991100549697876,0.4938559532165527,0.5043700933456421,0.493768182291479,0.5044519276480962,0.0027245622498857,0.0867709050386736,3535.4300038529223,30,,True,
cv,logistic,naive,10.0,frac_above_0.03,0.4214872568845749,0.4161907732486725,0.4268507063388824,0.4161342767425281,0.4268402370266216,0.0027292332246108,0.1281217564899811,1713.419082496362,30,,True,
cv,logistic,naive,10.0,frac_above_0.05,0.3233759661515554,0.3183154761791229,0.3284812867641449,0.3182641745300897,0.3284877577730211,0.0026053741853078,0.1574546654903225,1156.0090313219296,30,,True,
cv,logistic,naive,10.0,frac_above_0.075,0.2460966249306996,0.2416871190071106,0.2504677772521972,0.2416138576903723,0.250579392171027,0.0022854667601154,0.1316617155693053,1627.045804780733,30,,True,
cv,logistic,naive,10.0,frac_above_0.2,0.0816135150690873,0.0790503248572349,0.0843883901834487,0.0789224263886126,0.084304603749562,0.0013727189777174,0.0686748042117651,5349.091479633331,30,,True,
cv,logistic,naive,10.0,nb_all_at_0.01,0.0270533431321382,0.0250267443247139,0.0292273514904081,0.0248544799664539,0.0292522062978225,0.001121856576804,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,nb_all_at_0.02,0.0171253159642219,0.0150780365336686,0.0193215080536901,0.0149040154028156,0.0193466165256283,0.0011333041013021,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,nb_all_at_0.03,0.0069925878196954,0.0049242021050304,0.0092114201048388,0.0047483873560023,0.0092367882833886,0.0011449875959322,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,nb_all_at_0.05,-0.0139128314331173,-0.0160247615538537,-0.011647286824882,-0.0162042782172722,-0.0116213846489624,0.0011690925953551,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,nb_all_at_0.075,-0.0413158796727657,-0.0434848912991583,-0.038989104423672,-0.0436692573605995,-0.0389625019849318,0.0012006896463603,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,10.0,nb_all_at_0.2,-0.2040214836597442,-0.2065294098109006,-0.2013311605900526,-0.2067425771729912,-0.2013003901464973,0.001388297690177,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,15.0,mean_pred,0.1758927762508392,0.1735490214079618,0.1782342154532671,0.1735151201742528,0.1782704323274256,0.0012127417132019,0.0814306506897639,3963.954837505352,30,,True,
cv,logistic,naive,15.0,obs_cif,0.0641817897558212,0.0609723340719938,0.0676741149276494,0.0608109494810235,0.0675526300306188,0.0017197974801951,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,15.0,eo,2.740540377298991,2.603867107629776,2.886408448219299,2.5995075184872665,2.881573236110716,0.0719546404212616,0.0056316525796205,39195.9900642358,30,,True,
cv,logistic,naive,15.0,calib_intercept,-1.483772095044454,-1.5577545404434203,-1.4078450828790663,-1.557583174575321,-1.4099610155135869,0.0376559608367442,0.0383500334422264,13230.411030548092,30,,True,
cv,logistic,naive,15.0,calib_slope,0.6540479083855947,0.6156773507595062,0.6990573719143868,0.6122521412346925,0.6958436755364968,0.0213235280988314,0.0258619543816475,20903.69651889102,30,,True,
cv,logistic,naive,15.0,ici,0.1143543429672718,0.110127031430602,0.1186108939349651,0.1100948030441467,0.1186138828903968,0.0021731131781068,0.0325437334869779,16296.608465857811,30,,True,
cv,logistic,naive,15.0,e50,0.0456598116705815,0.0347296247258782,0.05905550904572,0.0324622418099622,0.0588573815312007,0.0067327421264574,0.0474659324241097,9753.374831858951,30,,True,
cv,logistic,naive,15.0,e90,0.3625904748837153,0.3483857795596122,0.3754746399819851,0.3489029820134884,0.3762779677539422,0.006981372289062,0.0822455903077067,3893.8298752520273,30,,True,
cv,logistic,naive,15.0,obs_concordant,0.0699984654784202,0.0664432492107152,0.0738160520792006,0.0662527298511895,0.073744201105651,0.0019110685075623,4.860149189361204e-05,41148.00014579739,30,,True,
cv,logistic,naive,15.0,eo_concordant,2.512808911005656,2.386145514249802,2.649384480714798,2.381427376365769,2.6441904456455427,0.0670305627158758,0.0054572224394749,39304.313999887694,30,,True,
cv,logistic,naive,15.0,calib_intercept_concordant,-1.3209103067715964,-1.3956768572330476,-1.242512160539627,-1.3962903293944826,-1.24553028414871,0.0384566803057552,0.0358612471842421,14449.390506577403,30,,True,
cv,logistic,naive,15.0,calib_slope_concordant,0.6854086319605509,0.6479180127382278,0.7293719962239265,0.6447040999833883,0.7261131639377135,0.0207665635866422,0.0306133484666327,17500.049342430088,30,,True,
cv,logistic,naive,15.0,ici_concordant,0.1076730991403261,0.1033279873430728,0.1118307847529649,0.1033822029367438,0.1119639953439085,0.0021891339355483,0.0283279934977905,19056.59806186571,30,,True,
cv,logistic,naive,15.0,e50_concordant,0.0515553741405407,0.0396293334662914,0.0611526951193809,0.040194201183031,0.0629165470980504,0.0057956884780596,0.0561024501269185,7504.946435373217,30,,True,
