split,model,family,horizon_y,metric,concordant_smoother,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m
cv,cox_naive,naive,10,ici_smoothfg,smoothnet,0.00756992788881541,0.006882056025680858,0.009229272800466213,0.006456841909581708,0.008683013868049112,0.0005678915857951775,0.011243138618465721,34612.08636107619,30
cv,cox_naive,naive,10,ici_smoothcsh,smoothnet,0.00569128361558491,0.0027967435567803076,0.005111518961738606,0.004565649095583744,0.006816918135586077,0.0005742968475893153,0.002127257888498504,40812.88482429245,30
cv,cox_naive,naive,10,ici_smoothnet,smoothnet,0.0011498199517720534,0.0036452767612342473,0.007247084764982123,-0.0007704607948721197,0.0030701006984162264,0.0009797205855148758,0.009183530170088546,36496.36104973953,30
cv,cox_naive,naive,10,e50_smoothfg,smoothnet,0.0019304624335952298,0.00369522236348133,0.005703027080681922,0.0009885259595552513,0.0028723989076352083,0.00048057440115621154,0.0022368255214176244,40781.61766772846,30
cv,cox_naive,naive,10,e50_smoothcsh,smoothnet,0.00036823195115597663,0.0005493316222305475,0.0025362502195892703,-0.0005900157536581302,0.0013264796559700836,0.0004888956562022314,0.006109723262744612,38885.895277266194,30
cv,cox_naive,naive,10,e50_smoothnet,smoothnet,0.0003909495267183833,0.00106788619584022,0.0037731213016433604,-0.0008234817695379169,0.0016053808229746836,0.0006196006514427532,0.0031894165389977054,40454.62941311588,30
cv,cox_naive,naive,10,e90_smoothfg,smoothnet,0.019496978603617845,0.008687900360996715,0.013681597893095218,0.017016477711926117,0.021977479495309572,0.0012655384571438274,0.01294222529676651,32958.12874930726,30
cv,cox_naive,naive,10,e90_smoothcsh,smoothnet,0.014942012129822007,0.0027685765043845424,0.008038821650563332,0.012361178211283587,0.01752284604836043,0.001316735891015687,0.0050554854574666975,39543.6268175818,30
cv,cox_naive,naive,10,e90_smoothnet,smoothnet,0.001891301717151,0.01074310746047751,0.0212270112160201,-0.0039026341839874705,0.00768523761828947,0.002956055650922818,0.00315370141933666,40468.64249937305,30
cv,cox_naive,naive,10,ici_concordant_austin,smoothnet,0.0011498199517720534,0.0036452767612342473,0.007247084764982123,-0.0007704607948721197,0.0030701006984162264,0.0009797205855148758,0.009183530170088546,36496.36104973953,30
cv,cox_naive,naive,10,e50_concordant_austin,smoothnet,0.0003909495267183833,0.00106788619584022,0.0037731213016433604,-0.0008234817695379169,0.0016053808229746836,0.0006196006514427532,0.0031894165389977054,40454.62941311588,30
cv,cox_naive,naive,10,e90_concordant_austin,smoothnet,0.001891301717151,0.01074310746047751,0.0212270112160201,-0.0039026341839874705,0.00768523761828947,0.002956055650922818,0.00315370141933666,40468.64249937305,30
cv,csc_cox,competing,10,ici_smoothfg,smoothcsh,0.0027495026561144566,0.005018033842081722,0.007382479567664575,0.0014939843918330285,0.004005020920395884,0.0006405610682810694,0.009186136867009337,36494.09199632195,30
cv,csc_cox,competing,10,ici_smoothcsh,smoothcsh,0.0011056152639292668,0.003317602269490763,0.006515862103485848,-0.000562909896441686,0.0027741404243002196,0.0008512778602064977,0.005243551237092736,39433.3863278442,30
cv,csc_cox,competing,10,ici_smoothnet,smoothcsh,0.005933637794105511,0.009187814663878866,0.012910229523459498,0.003987433780281831,0.00787984180792919,0.0009929500472461272,0.002037832818438164,40837.41643613628,30
cv,csc_cox,competing,10,e50_smoothfg,smoothcsh,0.0018309072821569398,0.0040371836970826,0.0063698408547142775,0.0006602412704842281,0.0030015732938296516,0.000597271869480909,0.0018635653351406654,40882.659370825495,30
cv,csc_cox,competing,10,e50_smoothcsh,smoothcsh,0.0003366935552863267,0.00036439549706215,0.0028796291502744503,-0.000775989494625404,0.0014493766051980575,0.0005676890574865377,0.0018682378670782033,40881.49064978356,30
cv,csc_cox,competing,10,e50_smoothnet,smoothcsh,0.0002511286199667333,0.0007004215541097075,0.003383512163517823,-0.0009324752866814933,0.00143473252661496,0.0006038723404034185,0.00432578634903151,39940.44168411229,30
cv,csc_cox,competing,10,e90_smoothfg,smoothcsh,0.004077228321733768,0.009564942498338834,0.015615046796666187,0.0009674018980753069,0.007187054745392229,0.0015866240665468301,0.007996223550949403,37491.670437731416,30
cv,csc_cox,competing,10,e90_smoothcsh,smoothcsh,0.0029528557643148895,0.011288701019204936,0.02188832551772348,-0.0024921857171913736,0.008397897245821153,0.0027780515849449455,0.0008271395668053468,41080.67251009285,30
cv,csc_cox,competing,10,e90_smoothnet,smoothcsh,0.019270206704038968,0.029577272964611493,0.040509601373567614,0.013335292357625077,0.025205121050452858,0.003027983645533369,0.0016140474131027265,40941.50172146091,30
cv,csc_cox,competing,10,ici_concordant_austin,smoothcsh,0.0011056152639292668,0.003317602269490763,0.006515862103485848,-0.000562909896441686,0.0027741404243002196,0.0008512778602064977,0.005243551237092736,39433.3863278442,30
cv,csc_cox,competing,10,e50_concordant_austin,smoothcsh,0.0003366935552863267,0.00036439549706215,0.0028796291502744503,-0.000775989494625404,0.0014493766051980575,0.0005676890574865377,0.0018682378670782033,40881.49064978356,30
cv,csc_cox,competing,10,e90_concordant_austin,smoothcsh,0.0029528557643148895,0.011288701019204936,0.02188832551772348,-0.0024921857171913736,0.008397897245821153,0.0027780515849449455,0.0008271395668053468,41080.67251009285,30
cv,deephit,competing,10,ici_smoothfg,undetermined,0.0034167594042939496,0.003011622733731025,0.005224784261421996,0.0023180990103147964,0.004515419798273103,0.0005598682407722926,0.17038212237628322,993.2370940682443,30
cv,deephit,competing,10,ici_smoothcsh,undetermined,0.0027582344826469806,0.0011279792380431725,0.0037771842052601655,0.0012748822234995105,0.004241586741794451,0.0007562831071690998,0.1291992463814762,1686.4205601886783,30
cv,deephit,competing,10,ici_smoothnet,undetermined,0.0048544220615995325,0.007052676268564333,0.010528480218473905,0.0030016795407857354,0.006707164582413329,0.0009452117178056841,0.036995557303367406,13877.13032693532,30
