model,threshold,net_benefit,frac_above,n_above,n_total,n_imp,per_1000_above,split,horizon_y
cox_naive,0.01,0.05642953606277134,0.7465027176334313,30719.333333333332,41151.0,30,746.5027176334313,cv,15.0
cox_naive,0.02,0.05060044822150376,0.5975137636725448,24588.28888888889,41151.0,30,597.5137636725449,cv,15.0
cox_naive,0.03,0.045715706576726405,0.5148369554945337,21186.055555555555,41151.0,30,514.8369554945336,cv,15.0
cox_naive,0.05,0.038287879501005075,0.4094980815911049,16851.255555555555,41151.0,30,409.4980815911049,cv,15.0
cox_naive,0.075,0.03074822150514511,0.3249574061923701,13372.322222222223,41151.0,30,324.9574061923701,cv,15.0
cox_naive,0.2,0.005776541115641219,0.126667638696508,5212.5,41151.0,30,126.66763869650799,cv,15.0
csc_cox,0.01,0.056442366549584524,0.7418512848344444,30527.922222222223,41151.0,30,741.8512848344444,cv,15.0
csc_cox,0.02,0.05063346318683969,0.5891969683469283,24246.044444444444,41151.0,30,589.1969683469282,cv,15.0
csc_cox,0.03,0.045811487767067484,0.503646731954671,20725.566666666666,41151.0,30,503.646731954671,cv,15.0
csc_cox,0.05,0.03856773728833234,0.391529839966087,16111.844444444445,41151.0,30,391.52983996608697,cv,15.0
csc_cox,0.075,0.03074124701681576,0.30023598724480843,12355.011111111111,41151.0,30,300.2359872448084,cv,15.0
csc_cox,0.2,0.006339855945125883,0.07607429548087127,3130.5333333333333,41151.0,30,76.07429548087127,cv,15.0
deephit,0.01,0.05691745474561966,0.6955497233765077,28622.566666666666,41151.0,30,695.5497233765077,cv,15.0
deephit,0.02,0.051415441247207205,0.5503919170318529,22649.17777777778,41151.0,30,550.3919170318528,cv,15.0
deephit,0.03,0.0466329072116074,0.4732383984188315,19474.233333333334,41151.0,30,473.2383984188315,cv,15.0
deephit,0.05,0.03921635351492781,0.38515035411587134,15849.322222222223,41151.0,30,385.1503541158713,cv,15.0
deephit,0.075,0.03139379640336057,0.318126466482521,13091.222222222223,41151.0,30,318.12646648252104,cv,15.0
deephit,0.2,0.006368739420479667,0.09534856720101306,3923.688888888889,41151.0,30,95.34856720101307,cv,15.0
fine_gray,0.01,0.05627827150445905,0.7721580952535242,31775.077777777777,41151.0,30,772.1580952535242,cv,15.0
fine_gray,0.02,0.05062897326544452,0.6004565840171293,24709.38888888889,41151.0,30,600.4565840171293,cv,15.0
fine_gray,0.03,0.04574959794936119,0.5047486357831186,20770.911111111112,41151.0,30,504.7486357831186,cv,15.0
fine_gray,0.05,0.03852814799665539,0.3825261435526071,15741.333333333334,41151.0,30,382.5261435526071,cv,15.0
fine_gray,0.075,0.030225705077628534,0.28528292818589535,11739.677777777777,41151.0,30,285.28292818589534,cv,15.0
fine_gray,0.2,0.006101287792519791,0.07181329466814632,2955.188888888889,41151.0,30,71.81329466814631,cv,15.0
gbs_naive,0.01,0.05680127703331508,0.7117029692811568,29287.28888888889,41151.0,30,711.7029692811568,cv,15.0
gbs_naive,0.02,0.051159724256649525,0.5642465823700787,23219.31111111111,41151.0,30,564.2465823700787,cv,15.0
gbs_naive,0.03,0.046495142514296206,0.4849451478160379,19955.977777777778,41151.0,30,484.94514781603795,cv,15.0
gbs_naive,0.05,0.03915859438118007,0.3872793694766429,15936.933333333332,41151.0,30,387.2793694766429,cv,15.0
gbs_naive,0.075,0.030840439912016245,0.31203750955154325,12840.655555555555,41151.0,30,312.0375095515432,cv,15.0
gbs_naive,0.2,0.0051333470663671174,0.13798017599140294,5678.022222222222,41151.0,30,137.98017599140294,cv,15.0
logistic,0.01,0.056091294215720094,0.8032722304574751,33055.455555555556,41151.0,30,803.2722304574751,cv,15.0
logistic,0.02,0.05017921716175351,0.6896597625547104,28380.18888888889,41151.0,30,689.6597625547104,cv,15.0
logistic,0.03,0.04486573247130336,0.6203003032193088,25525.977777777778,41151.0,30,620.3003032193088,cv,15.0
logistic,0.05,0.035684110118676136,0.5357258767844173,22045.655555555557,41151.0,30,535.7258767844173,cv,15.0
logistic,0.075,0.025807991589946507,0.4697469212304818,19330.555555555555,41151.0,30,469.7469212304818,cv,15.0
logistic,0.2,-0.010247859773144777,0.298343769153713,12277.144444444444,41151.0,30,298.343769153713,cv,15.0
logistic_cr,0.01,0.05516937869057218,0.9466533822588354,38955.73333333333,41151.0,30,946.6533822588354,cv,15.0
logistic_cr,0.02,0.04872049163315537,0.7960840697809423,32759.655555555557,41151.0,30,796.0840697809423,cv,15.0
logistic_cr,0.03,0.04395385749858894,0.6812695249744167,28034.922222222223,41151.0,30,681.2695249744168,cv,15.0
logistic_cr,0.05,0.0354405655336899,0.5368245405133938,22090.866666666665,41151.0,30,536.8245405133938,cv,15.0
logistic_cr,0.075,0.027558761046666113,0.424046938241004,17449.955555555556,41151.0,30,424.046938241004,cv,15.0
logistic_cr,0.2,0.004910044622714323,0.14359742844105314,5909.177777777778,41151.0,30,143.59742844105313,cv,15.0
nfg,0.01,0.056791388075282404,0.6604931971411523,27179.955555555556,41151.0,30,660.4931971411523,cv,15.0
nfg,0.02,0.05109158878490781,0.5170313128613048,21276.355555555554,41151.0,30,517.0313128613047,cv,15.0
nfg,0.03,0.04659565984230384,0.4442646189238009,18281.933333333334,41151.0,30,444.2646189238009,cv,15.0
nfg,0.05,0.039294746351591456,0.3595343977060096,14795.2,41151.0,30,359.5343977060096,cv,15.0
nfg,0.075,0.031442494768236885,0.2862878990385005,11781.033333333333,41151.0,30,286.2878990385005,cv,15.0
nfg,0.2,0.0061821551725055,0.07977016894418659,3282.6222222222223,41151.0,30,79.7701689441866,cv,15.0
rsf_cr,0.01,0.056719936254692294,0.6768613696440481,27853.522222222222,41151.0,30,676.8613696440481,cv,15.0
rsf_cr,0.02,0.05124277274193556,0.5559243868786772,22876.844444444443,41151.0,30,555.9243868786772,cv,15.0
rsf_cr,0.03,0.046382919756076585,0.4825742050280944,19858.411111111112,41151.0,30,482.5742050280944,cv,15.0
rsf_cr,0.05,0.03846675946391712,0.38725938886323813,15936.111111111111,41151.0,30,387.25938886323814,cv,15.0
rsf_cr,0.075,0.030237112949699076,0.30538153521313105,12566.755555555555,41151.0,30,305.38153521313103,cv,15.0
rsf_cr,0.2,0.00565348467318802,0.0887303940230965,3651.3444444444444,41151.0,30,88.7303940230965,cv,15.0
rsf_naive,0.01,0.056754179808846644,0.6760073334251362,27818.37777777778,41151.0,30,676.0073334251362,cv,15.0
rsf_naive,0.02,0.0512911183067998,0.5586887317440645,22990.6,41151.0,30,558.6887317440645,cv,15.0
rsf_naive,0.03,0.046493046552541606,0.48871230346771644,20111.0,41151.0,30,488.7123034677164,cv,15.0
rsf_naive,0.05,0.03868398516447804,0.40125202843727303,16511.922222222223,41151.0,30,401.25202843727305,cv,15.0
rsf_naive,0.075,0.030579105689112155,0.3296631106574972,13565.966666666667,41151.0,30,329.6631106574972,cv,15.0
rsf_naive,0.2,0.0045207354851257535,0.15219908251183312,6263.144444444444,41151.0,30,152.19908251183313,cv,15.0
treat_all,0.01,0.05472907693719827,1.0,41151.0,41151.0,30,1000.0,cv,15.0
treat_all,0.02,0.045083455273292126,1.0,41151.0,41151.0,30,1000.0,cv,15.0
treat_all,0.03,0.035238954812192046,1.0,41151.0,41151.0,30,1000.0,cv,15.0
treat_all,0.05,0.014928195966132929,1.0,41151.0,41151.0,30,1000.0,cv,15.0
treat_all,0.075,-0.01169536630505265,1.0,41151.0,41151.0,30,1000.0,cv,15.0
treat_all,0.2,-0.16977276729021712,1.0,41151.0,41151.0,30,1000.0,cv,15.0
treat_none,0.01,0.0,0.0,0.0,41151.0,30,0.0,cv,15.0
