model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
cox_naive,0.001,0.03585544945098132,0.9820306783418251,30,cv,10.0
cox_naive,0.002,0.034941635953728366,0.9074595190072334,30,cv,10.0
cox_naive,0.003,0.03405709829608334,0.8391584921657095,30,cv,10.0
cox_naive,0.004,0.033383323472382286,0.7812357739382599,30,cv,10.0
cox_naive,0.005,0.03269537499522002,0.7337086448553971,30,cv,10.0
cox_naive,0.006,0.03192569191761199,0.6952483941256996,30,cv,10.0
cox_naive,0.007,0.03131610977473041,0.6615208486900548,30,cv,10.0
cox_naive,0.008,0.030765857404298026,0.6337650765878513,30,cv,10.0
cox_naive,0.009,0.03024995525369518,0.608223912474113,30,cv,10.0
cox_naive,0.01,0.029724158257590682,0.5854738240463983,30,cv,10.0
cox_naive,0.011,0.02914577707898456,0.5657894097348788,30,cv,10.0
cox_naive,0.012,0.028617687375601,0.5482404909830731,30,cv,10.0
cox_naive,0.013,0.02810470808346542,0.532390734395546,30,cv,10.0
cox_naive,0.014,0.027560621282248447,0.51785159804406,30,cv,10.0
cox_naive,0.015,0.027045805941507857,0.5038500481964796,30,cv,10.0
cox_naive,0.016,0.026653024608468412,0.4907721967064389,30,cv,10.0
cox_naive,0.017,0.026264886192527225,0.4788532207938784,30,cv,10.0
cox_naive,0.018,0.025868279362510765,0.46787684381910527,30,cv,10.0
cox_naive,0.019,0.02544724057983849,0.45667365988135833,30,cv,10.0
cox_naive,0.02,0.025011022175606728,0.4461603471226567,30,cv,10.0
cox_naive,0.025,0.02324447929237358,0.3995525962647053,30,cv,10.0
cox_naive,0.03,0.021578716395716437,0.36188184977278803,30,cv,10.0
cox_naive,0.035,0.020002403794929416,0.330495816221558,30,cv,10.0
cox_naive,0.04,0.0183713197959976,0.30379064637284364,30,cv,10.0
cox_naive,0.045,0.01696944312601759,0.27944129884787466,30,cv,10.0
cox_naive,0.05,0.015481968882548942,0.25794539892374696,30,cv,10.0
cox_naive,0.055,0.014161698192107873,0.2387410593505221,30,cv,10.0
cox_naive,0.06,0.013104508554890834,0.2208041386870577,30,cv,10.0
cox_naive,0.065,0.012123360825046612,0.20454207944183886,30,cv,10.0
cox_naive,0.07,0.011157951866085411,0.19035881401559027,30,cv,10.0
cox_naive,0.075,0.010303346717727637,0.1774240669188544,30,cv,10.0
cox_naive,0.08,0.00950536185641159,0.1653981677237491,30,cv,10.0
cox_naive,0.085,0.008649060121453557,0.1539287556127973,30,cv,10.0
cox_naive,0.09,0.008042449571862086,0.14396274965641445,30,cv,10.0
cox_naive,0.095,0.0075447277025267705,0.13487616069813343,30,cv,10.0
cox_naive,0.1,0.007177189174637428,0.12602366892663605,30,cv,10.0
cox_naive,0.125,0.004504365304491926,0.09038500481964795,30,cv,10.0
cox_naive,0.15,0.002526706220731495,0.06612367999697591,30,cv,10.0
cox_naive,0.2,0.00036187336315583095,0.03653995177651954,30,cv,10.0
csc_cox,0.001,0.03585559517143367,0.981825742050281,30,cv,10.0
csc_cox,0.002,0.03494229319243498,0.9066532742555197,30,cv,10.0
csc_cox,0.003,0.03405890913282791,0.8377933302552388,30,cv,10.0
csc_cox,0.004,0.03338002001898672,0.7794234783007837,30,cv,10.0
csc_cox,0.005,0.032690056126463904,0.7313895436589904,30,cv,10.0
csc_cox,0.006,0.03192640634705853,0.692525090520279,30,cv,10.0
