model,threshold,net_benefit,frac_above,n_above,n_total,n_imp,per_1000_above,split,horizon_y
cox_naive,0.01,0.008883958749967965,0.4268088755493622,3981.7,9329.0,30,426.8088755493622,temporal,5.0
cox_naive,0.02,0.005797225096491593,0.29173902168864113,2721.633333333333,9329.0,30,291.7390216886411,temporal,5.0
cox_naive,0.03,0.0027884816919784908,0.2125987065423232,1983.3333333333333,9329.0,30,212.5987065423232,temporal,5.0
cox_naive,0.05,0.0008178609241508738,0.12852753063922537,1199.0333333333333,9329.0,30,128.52753063922538,temporal,5.0
cox_naive,0.075,0.0003527699636607354,0.06877836138207025,641.6333333333333,9329.0,30,68.77836138207024,temporal,5.0
cox_naive,0.2,-0.0008495015542930647,0.004541394218744417,42.36666666666667,9329.0,30,4.541394218744418,temporal,5.0
csc_cox,0.01,0.008911605063389819,0.42407189052059885,3956.1666666666665,9329.0,30,424.07189052059886,temporal,5.0
csc_cox,0.02,0.0057611296206766536,0.2865401793689928,2673.133333333333,9329.0,30,286.54017936899277,temporal,5.0
csc_cox,0.03,0.0028390206203984985,0.20643870368385323,1925.8666666666666,9329.0,30,206.43870368385322,temporal,5.0
csc_cox,0.05,0.0009799662625316634,0.12151713295458606,1133.6333333333334,9329.0,30,121.51713295458606,temporal,5.0
csc_cox,0.075,0.0004677847533459071,0.05964197663200772,556.4,9329.0,30,59.641976632007726,temporal,5.0
csc_cox,0.2,-0.00047522063815342837,0.0024547111158752274,22.9,9329.0,30,2.4547111158752273,temporal,5.0
deephit,0.01,0.008946361460028519,0.4116982884910852,3840.733333333333,9329.0,30,411.6982884910852,temporal,5.0
deephit,0.02,0.0056494888661864145,0.2993354057240862,2792.5,9329.0,30,299.3354057240862,temporal,5.0
deephit,0.03,0.003317851182010498,0.23812127058991675,2221.4333333333334,9329.0,30,238.12127058991675,temporal,5.0
deephit,0.05,0.000903050852557484,0.15277807553506986,1425.2666666666667,9329.0,30,152.77807553506986,temporal,5.0
deephit,0.075,0.0004496296060236459,0.0757780398041948,706.9333333333333,9329.0,30,75.7780398041948,temporal,5.0
deephit,0.2,-0.0001411369564440633,0.0005645478257762532,5.266666666666667,9329.0,30,0.5645478257762533,temporal,5.0
fine_gray,0.01,0.008558699511641949,0.4818773001750813,4495.433333333333,9329.0,30,481.8773001750813,temporal,5.0
fine_gray,0.02,0.005729773954817214,0.3152320720334441,2940.8,9329.0,30,315.2320720334441,temporal,5.0
fine_gray,0.03,0.0028980686541137095,0.21715439311108728,2025.8333333333333,9329.0,30,217.15439311108727,temporal,5.0
fine_gray,0.05,0.0010126882217871827,0.11675063422303213,1089.1666666666667,9329.0,30,116.75063422303212,temporal,5.0
fine_gray,0.075,0.0003977715522361256,0.046403687426305074,432.9,9329.0,30,46.403687426305076,temporal,5.0
fine_gray,0.2,-0.00016525529710222604,0.0011969843141458533,11.166666666666666,9329.0,30,1.1969843141458534,temporal,5.0
gbs_naive,0.01,0.009166304846442054,0.38885196698467145,3627.6,9329.0,30,388.85196698467144,temporal,5.0
gbs_naive,0.02,0.005612007907461408,0.2681209132811662,2501.3,9329.0,30,268.1209132811662,temporal,5.0
gbs_naive,0.03,0.0036033298228669505,0.20435559366848896,1906.4333333333334,9329.0,30,204.35559366848895,temporal,5.0
gbs_naive,0.05,0.001210712492454203,0.12756637010040375,1190.0666666666666,9329.0,30,127.56637010040376,temporal,5.0
