split,horizon_y,stratifier,stratum,n,n_cvd_by_horizon,n_competing_by_horizon,at_risk_fraction,obs_cif,obs_cif_competing,flag_sparse,flag_low_at_risk,interpretable,n_imputations,meanpred_cox_naive,meanpred_csc_cox,meanpred_deephit,meanpred_fine_gray,meanpred_gbs_naive,meanpred_logistic,meanpred_logistic_cr,meanpred_nfg,meanpred_rsf_cr,meanpred_rsf_naive,eo_cox_naive,eo_csc_cox,eo_deephit,eo_fine_gray,eo_gbs_naive,eo_logistic,eo_logistic_cr,eo_nfg,eo_rsf_cr,eo_rsf_naive
temporal,5.0,cycle,2007-2008,4591.0,78.0,182.0,1.0,0.016989762578958845,0.03964277935090398,False,False,True,30,0.02167987269527805,0.020403212830733007,0.021721793378175147,0.020566084560773874,0.02219625321403741,0.02192866578191103,0.019821725985994788,0.017423920505507208,0.0209061129679264,0.022291550728922863,1.276055071077198,1.2009121808448098,1.2785224794769492,1.210498643827087,1.306448698790329,1.2906987769840188,1.166686461560282,1.0255540902664555,1.2305123671250005,1.312057812775446
temporal,5.0,cycle,2009-2010,4738.0,51.0,164.0,1.0,0.010764035457999149,0.034613761080624764,False,False,True,30,0.020384980317160902,0.019183169568947032,0.02035534486577608,0.01943383930158671,0.020746059183373633,0.020588939280080473,0.018673038854245292,0.01632342013998957,0.01946371802490367,0.02070163503001467,1.8938046420138905,1.7821540670131588,1.8910514504715124,1.8054417766846644,1.9273495766828301,1.9127528295886538,1.7347619233610636,1.5164777377111889,1.8082175686665423,1.9232224857295994
