split,horizon_y,stratifier,stratum,n,n_cvd_by_horizon,n_competing_by_horizon,at_risk_fraction,obs_cif,obs_cif_competing,flag_sparse,flag_low_at_risk,interpretable,n_imputations,meanpred_cox_naive,meanpred_csc_cox,meanpred_deephit,meanpred_fine_gray,meanpred_gbs_naive,meanpred_logistic,meanpred_logistic_cr,meanpred_nfg,meanpred_rsf_cr,meanpred_rsf_naive,eo_cox_naive,eo_csc_cox,eo_deephit,eo_fine_gray,eo_gbs_naive,eo_logistic,eo_logistic_cr,eo_nfg,eo_rsf_cr,eo_rsf_naive
cv,5.0,cycle,1999-2000,3584.0,83.0,158.0,1.0,0.023158482142857137,0.044084821428571425,False,False,True,30,0.017862830024229715,0.016743243033337317,0.017577897287679924,0.01702040677435284,0.018253696299803994,0.02091380225663608,0.01858517969222035,0.015231441990074904,0.016507441045486602,0.017268363024727576,0.7713299133354135,0.7229853377286862,0.7590263117957212,0.7349534684250675,0.7882078016686449,0.903073099852816,0.802521494179732,0.6577046758123912,0.7128032374340241,0.7456603985617307
cv,5.0,cycle,2001-2002,3846.0,65.0,171.0,1.0,0.016900676027041088,0.04446177847113884,False,False,True,30,0.015953929861946565,0.015045853640364877,0.016119669573800552,0.015365348254677863,0.016400020550983926,0.01889877743661118,0.016903469094317215,0.013876008165392575,0.015543326884423317,0.016294496341670454,0.9439817576776379,0.89025158616682,0.9537884489359523,0.9091558367306314,0.9703766006012947,1.118226123403178,1.0001652636422151,0.8210327292938434,0.9196866953460316,0.9641328143086852
cv,5.0,cycle,2003-2004,3605.0,75.0,169.0,1.0,0.02080443828016642,0.046879334257975,False,False,True,30,0.017986505325242583,0.016902278412929326,0.01762348374299462,0.01702506646837968,0.018207654343006273,0.02128341437866189,0.01892831261035337,0.015240407088798785,0.016754347633565193,0.017692547848545452,0.8645513559666608,0.8124361823814702,0.847102118579942,0.8183381949134506,0.8751812520871689,1.0230227844676822,0.9098208928043194,0.7325555674015956,0.8053256429200342,0.8504217999200854
cv,5.0,cycle,2005-2006,3516.0,65.0,121.0,1.0,0.01848691695108075,0.03441410693970417,False,False,True,30,0.016341016403762298,0.015338413850566689,0.0162407251775776,0.015374366032443153,0.016568518945532948,0.019978908444450508,0.017721351276442802,0.013936474279810434,0.015446051092491286,0.016402387219792248,0.8839232873173586,0.8296902015168084,0.8784983034517371,0.8316349380010798,0.8962294248075987,1.0807052629336626,0.9585887859688149,0.7538560548894392,0.8355125483261451,0.8872429763813786
cv,5.0,cycle,2007-2008,4591.0,78.0,182.0,1.0,0.016989762578958845,0.03964277935090398,False,False,True,30,0.017471644822180356,0.01643819091614614,0.017321934962022955,0.016496937642523312,0.017742904050540766,0.02060953246161428,0.018354313541369523,0.014846600028829536,0.016609519383734214,0.01760913257745148,1.02836309459782,0.9675350576413702,1.01955132577753,0.9709928297028778,1.0443291345645205,1.2130559427086038,1.0803160701080439,0.873855650414825,0.977619275522099,1.036455482859996
cv,5.0,cycle,2009-2010,4738.0,51.0,164.0,1.0,0.010764035457999149,0.034613761080624764,False,False,True,30,0.01638486953574474,0.015411815186631657,0.016225031379197462,0.015498653266337393,0.016377886798945068,0.019534458509975667,0.017428098916824016,0.013856187991445534,0.015358555394294093,0.016269026473022682,1.5221865070658553,1.431787850083546,1.5073372289144633,1.439855277958953,1.521537797125525,1.814789498436564,1.6191045621159261,1.2872670334013525,1.4268399109444208,1.511424459395716
cv,5.0,cycle,2011-2012,4193.0,57.0,143.0,1.0,0.013594085380395896,0.03410445981397567,False,False,True,30,0.01624149239795107,0.015225813945875225,0.016057016971559514,0.01525209867426654,0.01656853637060397,0.019778465479132368,0.01752809046187211,0.013664792761589405,0.015320815074302054,0.016366709681093102,1.1947469758703306,1.1200322434220145,1.1811767045920887,1.1219657849333267,1.2188047895077623,1.4549316798947725,1.289390935204031,1.0052013341990242,1.1270206597640091,1.2039581349618138
cv,5.0,cycle,2013-2014,4450.0,62.0,155.0,0.9939325842696632,0.013936314675625176,0.034834598699134994,False,False,True,30,0.015780500945991656,0.01485340269928333,0.015840335933869968,0.014912118782878899,0.01585546716659209,0.019152381399146115,0.01702760089383418,0.013378824957477461,0.01504480206822954,0.016059244100094815,1.1323295514840799,1.0658056340577726,1.1366230099249233,1.070018805542646,1.1377087512470954,1.3742787706023831,1.2218151850155703,0.9599973356569816,1.079539492211892,1.1523307613154483
cv,5.0,cycle,2015-2016,4352.0,38.0,133.0,0.05859375,0.010309749578816873,0.038192204330231336,False,True,False,30,0.01658027071511729,0.015587474302643269,0.016683170905683276,0.015622655874622625,0.016892664146534387,0.019976176530551993,0.017745120391253356,0.01417189005505035,0.015835377954931187,0.016945007552175418,1.6082127493362461,1.5119158989729853,1.618193611604464,1.515328355474513,1.6385135271610503,1.9376005573982547,1.7211980034620542,1.3746105030687552,1.53596145414314,1.643590605439322
cv,5.0,cycle,2017-2018,4276.0,19.0,64.0,0.01941066417212348,0.0061692217958327,0.020406335047757764,False,True,False,30,0.01835996296661936,0.017252757799096963,0.018289544085773466,0.01720837358892934,0.01893767214247989,0.02177892514866161,0.019308666824657227,0.01556399073138745,0.017451566612646144,0.018666036970538556,2.976058176255146,2.7965857558811025,2.964643627844281,2.7893912973843102,3.0697019444611735,3.5302548472764004,3.1298383270480246,2.5228450599556824,2.8288116702879202,3.0256712415733595
