horizon,n,n_ev1,n_ev2,at_risk_frac,F1_obs,F2_obs,A_naive_obs,G_obs_nonparam,G_theory_at_obs,kappa_nonparam,EO_naive,EO_csc,inflation_theory_pooled
5,8096,95,252,0.9571393280632411,0.01173418972332016,0.031126482213438736,0.011943576024571412,0.00020938630125125202,0.00018726183557485343,0.5587251713901592,1.4698947730064063,1.3978522722380207,1.0159586507454106
10,8096,242,667,0.6476037549407114,0.03041816698815181,0.08372007553575944,0.031799063073541634,0.0013808960853898232,0.0013644475929425158,0.5058330395730072,1.3981346281383569,1.222980483143958,1.0448563384333442
15,8096,277,778,0.0,0.043989327078763206,0.12114411555777406,0.04700345750556256,0.0030141304267993566,0.0029515546875510737,0.5107547393791372,1.894491285667613,1.490841601775223,1.0670970638461073
