source,label,family,horizon,n,F1,F2,gap_obs,gap_theory,inflation_theory,heterogeneity_multiplier
nhanes_stratum,age 50-54,age5,5,3851.0,0.0069262548668545,0.018589427719896,4.711339710211648e-05,6.534081006076553e-05,1.0094337865580711,
nhanes_stratum,age 55-59,age5,5,3171.0,0.0115157015455546,0.0351410818164673,0.0001944114613893,0.0002080376311675,1.018065562948512,
nhanes_stratum,age 60-64,age5,5,4352.0,0.0141757229749503,0.0406808419380819,0.0003146752833705,0.0002978826580261,1.0210135778296796,
nhanes_stratum,age 65-69,age5,5,3287.0,0.0231186965066213,0.0482118722341174,0.0006710345020765,0.0005806232593875,1.0251148787398638,
nhanes_stratum,age 70-74,age5,5,2895.0,0.0319928568291737,0.0844411250873851,0.0013023681296877,0.0014490610639207,1.0452932687961582,
nhanes_stratum,age 75-79,age5,5,2030.0,0.0656823403133401,0.1187394843775596,0.0049808024951707,0.0043491812128854,1.0662153813664004,
nhanes_stratum,female age 50-59,sex_x_age10,5,3540.0,0.0065661539413323,0.0196587298302814,5.0070670124797816e-05,6.554640228056529e-05,1.0099824650573657,
nhanes_stratum,female age 60-69,sex_x_age10,5,3832.0,0.0101418346637589,0.0343336359984164,0.0001969251264177,0.0001788225325803,1.0176321679961264,
nhanes_stratum,female age 70-79,sex_x_age10,5,2397.0,0.0329952435272754,0.0776535031032599,0.0015892848505676,0.001368058344026,1.0414622896447254,
nhanes_stratum,male age 50-59,sex_x_age10,5,3482.0,0.0113282899098531,0.0321963190714859,0.0001645682622071,0.0001871094039519,1.0165170034878108,
nhanes_stratum,male age 60-69,sex_x_age10,5,3807.0,0.0260074694047691,0.053644401989812,0.0008121603819043,0.0007303254423978,1.0280813727407083,
nhanes_stratum,male age 70-79,sex_x_age10,5,2528.0,0.0580575130566729,0.1184421700128297,0.0037407550505311,0.0038220858431574,1.0658327517306259,
nhanes_stratum,csc_cox decile 6,risk_decile,5,3530.0,0.0053424759664765,0.0238553200885351,2.717529346697809e-05,6.487384371824199e-05,1.0121430295850327,
nhanes_stratum,csc_cox decile 7,risk_decile,5,3531.0,0.0080059607767643,0.028400252180377,0.0001263232734071,0.0001162054100117,1.0145148612704977,
nhanes_stratum,csc_cox decile 8,risk_decile,5,3531.0,0.0174995990567628,0.0485951656669709,0.0004392485798891,0.0004422262195078,1.0252706486630583,
nhanes_stratum,csc_cox decile 9,risk_decile,5,3531.0,0.0228865161218388,0.071536465914898,0.0008269289930994,0.0008670696552155,1.0378856113617116,
nhanes_stratum,csc_cox decile 10,risk_decile,5,3531.0,0.0692287138640233,0.1115184887413401,0.0046929312193231,0.0042874349320515,1.06193145434527,
nhanes_stratum,age 40-44,age5,10,4015.0,0.0083458430555367,0.0266270666247779,0.0001039253503765,0.0001134507455987,1.0135936830879608,
nhanes_stratum,age 45-49,age5,10,3843.0,0.0112941021119032,0.0352909785117136,0.0002093224196068,0.0002049100089386,1.0181430986641038,
nhanes_stratum,age 50-54,age5,10,3851.0,0.0148931051369107,0.0457091125486774,0.0003045282553072,0.0003529646114914,1.0236998670355557,
nhanes_stratum,age 55-59,age5,10,3171.0,0.0216078897292377,0.0895736825836601,0.0008367021826046,0.0010380289521906,1.04803934883035,
nhanes_stratum,age 60-64,age5,10,4352.0,0.0400852288052527,0.110779664380238,0.0025789902835169,0.0024364844060799,1.0607825994437312,
nhanes_stratum,age 65-69,age5,10,3287.0,0.0612249644744531,0.1391356903689337,0.0048782966294244,0.004817782901737,1.0786898439728336,
nhanes_stratum,age 70-74,age5,10,2895.0,0.0825940020953473,0.2026925501830166,0.0106077555375154,0.0100673960660265,1.121890159220093,
nhanes_stratum,age 75-79,age5,10,2030.0,0.1542930548272122,0.3049897356398916,0.0319210544870094,0.0323277129635255,1.2095215043848107,
nhanes_stratum,female age 40-49,sex_x_age10,10,4080.0,0.0069286800670675,0.0269638416875069,8.136691922678609e-05,9.535289138130378e-05,1.0137620571968111,
nhanes_stratum,female age 50-59,sex_x_age10,10,3540.0,0.0120952648817996,0.0529940797677324,0.0002569099634982,0.000333711456235,1.0275902561453865,
nhanes_stratum,female age 60-69,sex_x_age10,10,3832.0,0.0336310743175132,0.097490273042729,0.0019226346728609,0.0017767422389437,1.0528303741405738,
nhanes_stratum,female age 70-79,sex_x_age10,10,2397.0,0.0883816146538343,0.2010336337273586,0.0108951041676993,0.0106978925623083,1.1210420583987855,
nhanes_stratum,male age 40-49,sex_x_age10,10,3778.0,0.0127672589084959,0.0349693069766908,0.0002408511925513,0.0002295933957062,1.017982982670887,
nhanes_stratum,male age 50-59,sex_x_age10,10,3482.0,0.0234754624992487,0.0760553073505784,0.0008299737267703,0.0009488524429822,1.0404189030572888,
nhanes_stratum,male age 60-69,sex_x_age10,10,3807.0,0.0649344415308268,0.1487886370479838,0.0055633742816841,0.0055145600303565,1.0849250397839894,
nhanes_stratum,male age 70-79,sex_x_age10,10,2528.0,0.1348830796108684,0.2870523187466473,0.0265600121480332,0.0258322305118544,1.1915157229978675,
nhanes_stratum,csc_cox decile 4,risk_decile,10,3531.0,0.0067320406263792,0.0294607793595586,8.49481669570034e-05,0.0001013926019957,1.0150611987691427,
nhanes_stratum,csc_cox decile 5,risk_decile,10,3531.0,0.0109093713525823,0.0343439560206788,0.00022505827878,0.0001924665664173,1.0176423150516185,
nhanes_stratum,csc_cox decile 6,risk_decile,10,3530.0,0.012756595540591,0.0609798190424649,0.0003428834141935,0.0004073781057807,1.0319347042464837,
nhanes_stratum,csc_cox decile 7,risk_decile,10,3531.0,0.0202081016991585,0.0791256481935111,0.0008007171599639,0.0008506219410618,1.0420931146193386,
nhanes_stratum,csc_cox decile 8,risk_decile,10,3531.0,0.0503178159329043,0.1263299718425323,0.0035920944770986,0.0035436716214437,1.070425783705895,
nhanes_stratum,csc_cox decile 9,risk_decile,10,3531.0,0.0670197474845245,0.1895398711449078,0.0079810665785987,0.0075018372526867,1.1119347287069234,
nhanes_stratum,csc_cox decile 10,risk_decile,10,3531.0,0.1555431764519393,0.2831881671900887,0.0295889524818105,0.0296143446719448,1.1903930815061836,
nhanes_stratum,age 35-39,age5,15,3869.0,0.0082146525916875,0.025536923178406,0.0001258781501239,0.0001070108413757,1.013026824954711,
nhanes_stratum,age 40-44,age5,15,4015.0,0.0141968273029417,0.0470987236061774,0.0003276561301154,0.0003469432435631,1.0244380829716313,
nhanes_stratum,age 45-49,age5,15,3843.0,0.0190530860613261,0.0610546385428427,0.0006063828900263,0.0006106196105966,1.0320483311013906,
nhanes_stratum,age 50-54,age5,15,3851.0,0.030192048569768,0.091590998662156,0.0015101072784121,0.0014900748985839,1.0493532227579954,
nhanes_stratum,age 55-59,age5,15,3171.0,0.0408665246034368,0.1506722473909011,0.0033739377545129,0.0034848118341713,1.0852730166802163,
nhanes_stratum,age 60-64,age5,15,4352.0,0.0755442383909616,0.196957410244727,0.009183869942744,0.0088755541907975,1.1174881682553246,
nhanes_stratum,age 65-69,age5,15,3287.0,0.1091328882840612,0.2491448970257983,0.0171419097550514,0.0172580593375722,1.158138024283306,
nhanes_stratum,age 70-74,age5,15,2895.0,0.1664882763168942,0.3550639300896628,0.0468464137460716,0.0432011711024544,1.2594847640816773,
nhanes_stratum,age 75-79,age5,15,2030.0,0.2441168059616462,0.476981042561324,0.1066980240274296,0.1068512258076618,1.4377053246569573,
