horizon,quantity,value,lo,hi
5,mean_N,0.01724802413977379,0.01662854116752503,0.017914222401146304
5,mean_C,0.016402663767615115,0.015833925425034895,0.01701009813788079
5,mean_F1,0.016402663767615115,0.015833925425034895,0.017010098137880795
5,mean_F2,0.03452592634993675,0.03362276926684294,0.03551556422849283
5,mean_V,0.01725769364011452,0.01663770055855375,0.01792452498758101
5,D_obs,0.0008453603721586753,0.0007830465100081305,0.0009139841527272817
5,D_model,0.0008550298724994063,0.0007920027216064064,0.0009244292270486935
5,T_het,0.0009505549448873272,0.0008802986091458055,0.0010281966469383866
5,T_pool,0.00029151004346961856,0.0002740197317796469,0.00031146246322530006
5,estimand,0.00029151004346961856,0.0002740197317796469,0.00031146246322530006
5,heterogeneity,0.0006590449014177086,0.0006032660106236306,0.0007200462222953756
5,timing,-9.552507238792091e-05,-0.00010362466683782028,-8.828407553855276e-05
5,implementation,-9.669500340730997e-06,-1.0455185410456359e-05,-8.930496861806434e-06
5,impl_naive,-9.669500340730997e-06,-1.0455185410456359e-05,-8.930496861806523e-06
5,impl_csc,0.0,-3.469446951953614e-18,3.469446951953614e-18
5,sh_estimand,0.3448352360369475,0.3299228938216841,0.35957510086388816
5,sh_heterogeneity,0.7796023129577275,0.7646900973984008,0.7947526434303757
5,sh_timing,-0.11299923149223598,-0.11349659053536842,-0.11251869915889344
5,sh_implementation,-0.011438317502439089,-0.011757488640224302,-0.011112700522020656
5,corr_F1F2,0.9359127266685832,0.9312414113283682,0.9404351867449017
5,EF1F2,0.0016319680871789794,0.0015251762593376527,0.0017507153806437614
5,EF1_EF2,0.0005663171611834556,0.0005327955261921383,0.0006046030784291941
5,kappa_implied,0.5239256081149303,0.5173975863104832,0.5311938861462066
10,mean_N,0.04252869259063007,0.04107839550425975,0.04408023073832486
10,mean_C,0.03720082455952349,0.03604480853006012,0.03844931800627455
10,mean_F1,0.03720082455952349,0.03604480853006012,0.03844931800627455
10,mean_F2,0.08531336534426771,0.08324418811251075,0.08754044345616842
10,mean_V,0.0425556500837711,0.041103986699645975,0.044108587074081225
10,D_obs,0.005327868031106582,0.004998828825542775,0.00568830012274857
10,D_model,0.005354825524247611,0.005024366727924433,0.005717419731973671
10,T_het,0.0055535508010794285,0.005208023797716897,0.005932150710166149
10,T_pool,0.0017067837200611252,0.00161309675968227,0.001809805750212312
10,estimand,0.0017067837200611252,0.00161309675968227,0.001809805750212312
10,heterogeneity,0.0038467670810183032,0.0035777603077359822,0.004137350485696122
10,timing,-0.0001987252768318173,-0.000214556623022812,-0.00018431224219319072
10,implementation,-2.6957493141029076e-05,-2.872335874642747e-05,-2.5333022629881604e-05
10,impl_naive,-2.6957493141029076e-05,-2.872335874642747e-05,-2.5333022629895136e-05
10,impl_csc,0.0,-6.938893903907228e-18,6.938893903907228e-18
10,sh_estimand,0.32035022453561623,0.308896881652565,0.331327571667471
10,sh_heterogeneity,0.7220087018970966,0.7107834410676506,0.7338482795373278
10,sh_timing,-0.03729921155546014,-0.037837109388845463,-0.03676985481431687
10,sh_implementation,-0.00505971487725271,-0.00517317844001645,-0.0049438306205219565
10,corr_F1F2,0.9295315036244595,0.9254769934158567,0.9335735816606759
10,EF1F2,0.007910648087636361,0.007510800380235234,0.008347797648326691
10,EF1_EF2,0.0031737275367546345,0.0030046523254310445,0.003358325530873831
10,kappa_implied,0.6769136314655088,0.6654557478176141,0.6891335946935773
15,mean_N,0.08333739681309925,0.08072083103709793,0.08614501132397089
15,mean_C,0.06558111884311753,0.06379899458817166,0.067490613917203
15,mean_F1,0.06558111884311753,0.06379899458817166,0.067490613917203
15,mean_F2,0.14589999407336066,0.14278745217454322,0.14918550124298322
15,mean_V,0.08340193144948287,0.08078245023739691,0.08621203240602417
15,D_obs,0.01775627796998172,0.016851576283838543,0.018757456942276256
15,D_model,0.017820812606365338,0.01691370450046841,0.018824410319171935
15,T_het,0.017597860113980374,0.016697043151196602,0.018593148558340725
15,T_pool,0.00545029246669719,0.005182038813581568,0.005748183963910566
15,estimand,0.00545029246669719,0.005182038813581568,0.005748183963910566
15,heterogeneity,0.012147567647283183,0.011466259737134828,0.01287892211737456
15,timing,0.00022295249238496462,0.00021316476407159997,0.0002334281294666741
15,implementation,-6.453463638361745e-05,-6.776803203864152e-05,-6.156964793698657e-05
15,impl_naive,-6.453463638361745e-05,-6.776803203864152e-05,-6.156964793701362e-05
15,impl_csc,0.0,0.0,1.3877787807814457e-17
15,sh_estimand,0.30695016578988604,0.2985720239551626,0.3157331132122648
15,sh_heterogeneity,0.6841280401117582,0.6752961560004308,0.692711194287441
15,sh_timing,0.012556262791215704,0.012214265236740919,0.012873846544840613
15,sh_implementation,-0.003634468692859953,-0.003706748895896941,-0.0035610856721896428
15,corr_F1F2,0.921961194170716,0.9181842857600369,0.9257057874269675
15,EF1F2,0.020470922623367874,0.019638635749574567,0.021371055332541508
15,EF1_EF2,0.009568284850535208,0.00912484159317094,0.010060911408227048
15,kappa_implied,0.8705427173088235,0.8560012402365009,0.8857299859657087
