model,imp,member,mean_risk10,frac_above_0.01,frac_above_0.02,frac_above_0.03,frac_above_0.05,frac_above_0.075,frac_above_0.2
deephit,1,0,0.045498624444007874,0.5910601350627077,0.4450637796119627,0.3601672204952299,0.281273448386751,0.22274627505627612,0.03537356629863865
deephit,1,1,0.04814338684082031,0.5547218351377425,0.41901597170114696,0.3539500482366813,0.2808446778861614,0.22231750455568658,0.06356522671240218
deephit,1,2,0.04231356829404831,0.6352234966234324,0.44452781648622575,0.3519133883588809,0.26444420623861076,0.19187479901382784,0.026476578411405296
deephit,1,3,0.045856304466724396,0.5846285775538643,0.4547111158752278,0.38117697502411835,0.2985314610354808,0.22671240218672956,0.035159181048343875
deephit,1,4,0.0454070158302784,0.6014578197020045,0.44334869760960444,0.3709936756351163,0.287597813270447,0.21953049630185442,0.03548075892378604
deephit,1,5,0.0454096794128418,0.57658913066781,0.4404544967306249,0.37142244613570585,0.28041590738557187,0.21577875442169578,0.03826776717761818
deephit,1,6,0.04753268137574196,0.6012434344517097,0.4493514846178583,0.3733519133883589,0.2895272805231,0.22585486118555043,0.041590738557187264
deephit,1,7,0.04462509974837303,0.617000750348376,0.4540679601243435,0.37388787651409583,0.2949941044056169,0.23732447207632115,0.01511416014578197
deephit,1,8,0.04578219726681709,0.5847357701790117,0.45717654625361775,0.38514310215457176,0.2907063993997213,0.22006645942759137,0.038696537678207736
deephit,1,9,0.046561598777770996,0.6129274305927752,0.4695036981455676,0.39232500803944687,0.3013184692893129,0.23217922606924643,0.0317290170436274
deephit,2,0,0.0445411279797554,0.6237538857326616,0.4282345374638225,0.3460177939757745,0.270554185872012,0.21267016829242147,0.035051988423196484
deephit,2,1,0.04576494172215462,0.58151999142459,0.4250187587094008,0.3522349662343231,0.2729124236252546,0.21202701254153714,0.04609282881337764
deephit,2,2,0.04532939940690994,0.5874155858076965,0.4376674884767928,0.367885089505842,0.2673384071175903,0.20130775002679815,0.04587844356308286
deephit,2,3,0.04473235085606575,0.5933111801908029,0.4354164433486976,0.3626326508736199,0.2852395755172044,0.22478293493407653,0.029263586665237432
deephit,2,4,0.041969265788793564,0.5626540893986494,0.4250187587094008,0.3500911137313753,0.2546896773501983,0.190266909636617,0.03301532854539608
deephit,2,5,0.04626304656267166,0.5351055847357702,0.4175152749490835,0.35041269160681743,0.2736627720012863,0.21835137742523314,0.051881230571336694
deephit,2,6,0.045747626572847366,0.601886590202594,0.4314503162182442,0.3507342694822596,0.2629435094865473,0.19777039339693428,0.053703505198842316
deephit,2,7,0.043615859001874924,0.5641547861507128,0.39168185228856256,0.3223282238182013,0.2564047593525565,0.20248686890341944,0.04084039018115554
deephit,2,8,0.049013901501894,0.6190374102261764,0.46896773501983063,0.3974702540465216,0.3139671990567049,0.24075463608103762,0.03858934505306035
deephit,2,9,0.04448956251144409,0.5552577982634794,0.41462107407010396,0.3443027119734162,0.2673384071175903,0.21063350841462108,0.04427055418587201
deephit,3,0,0.045594215393066406,0.5503269375066996,0.4230892914567478,0.36284703612391467,0.29585164540679604,0.23507342694822597,0.0401972344302712
deephit,3,1,0.04888562858104706,0.570800728909851,0.45503269375066996,0.3850359095294244,0.30399828491799763,0.23936113195412156,0.053703505198842316
deephit,3,2,0.042064014822244644,0.5434666094972666,0.39993568442491156,0.33036767070425554,0.2536177510987244,0.19616250401972343,0.03558795154893343
deephit,3,3,0.04567994922399521,0.5300675313538429,0.4037946189302176,0.34194447422017366,0.28255975988851967,0.23539500482366812,0.037517418801586454
deephit,3,4,0.049240998923778534,0.5719798477864723,0.4271626112123486,0.3530925072355022,0.2748418908779076,0.21813699217493837,0.06828170221888734
deephit,3,5,0.04410572350025177,0.5915960981884446,0.45428234537463824,0.37260156501232716,0.28041590738557187,0.21920891842641227,0.020902561903741023
deephit,3,6,0.04865286871790886,0.5304963018544324,0.40540250830742847,0.3446242898488584,0.283738878765141,0.22992818094115125,0.06077821845857005
deephit,3,7,0.04477439448237419,0.5621181262729125,0.43370136134633935,0.3582377532425769,0.2687319112445064,0.202915639404009,0.04319862793439811
deephit,3,8,0.04729842394590378,0.6441204845106656,0.46328652588701896,0.37828277414513883,0.29017043627398437,0.22714117268731912,0.035695144174080824
deephit,3,9,0.04408580809831619,0.6046735984564262,0.4677886161432093,0.38407117590309786,0.28609711651838354,0.20838246328652588,0.03001393504126916
deephit,4,0,0.041939426213502884,0.5463608103762461,0.39596955729445815,0.33036767070425554,0.25951334548183086,0.20559545503269375,0.02937077929038482
deephit,4,1,0.044914375990629196,0.564476364026155,0.42962804159073853,0.36316861399935685,0.28781219852074175,0.22424697180833958,0.03119305391789045
deephit,4,2,0.04956500232219696,0.5824847250509165,0.4425983492335727,0.374209454389538,0.2948869117804695,0.2420409475828063,0.05113088219530496
deephit,4,3,0.048790689557790756,0.5410011791188766,0.414085110944367,0.3540572408618287,0.2892057026476578,0.23292957444527818,0.059170329081359205
deephit,4,4,0.04027721658349037,0.5905241719369707,0.42962804159073853,0.34419551934826886,0.264229820988316,0.19101725801264874,0.021760102904920142
deephit,4,5,0.04648616909980774,0.545503269375067,0.4342373244720763,0.3657412370028942,0.29156394040090045,0.23378711544645728,0.043627398434987676
deephit,4,6,0.04119635373353958,0.48418908779076,0.37474541751527496,0.32061314181584305,0.25211705434666093,0.19948547539929254,0.042341086933218995
deephit,4,7,0.04638954624533653,0.5680137206560189,0.4430271197341623,0.38332082752706614,0.30689248579697714,0.23625254582484725,0.03130024654303784
deephit,4,8,0.04228659346699715,0.5482902776288991,0.38910922928502517,0.3161110515596527,0.24343445170972236,0.19101725801264874,0.04394897631042984
deephit,4,9,0.05008229240775108,0.532854539607675,0.426733840711759,0.3600600278700825,0.29402937077929037,0.23957551720441633,0.06731696859256084
deephit,5,0,0.051214758306741714,0.609282881337764,0.4842962804159074,0.4119412584414192,0.3296173223282238,0.25436809947475614,0.05166684532104191
deephit,5,1,0.04114922881126404,0.5400364454925501,0.4067960124343445,0.3392646585914889,0.26272912423625255,0.20313002465430377,0.02422553328331011
deephit,5,2,0.04710536077618599,0.5630828598992389,0.44763640261550003,0.3875013399078143,0.3045342480437346,0.23528781219852074,0.03665987780040733
deephit,5,3,0.046137865632772446,0.661807267659985,0.4775431450316218,0.37978347089720227,0.28255975988851967,0.21213420516668452,0.035159181048343875
deephit,5,4,0.047551412135362625,0.5447529209990353,0.41140529531568226,0.34719691285239573,0.278808018008361,0.22628363168614,0.055418587201200555
deephit,5,5,0.045282032340765,0.5482902776288991,0.4206238610783578,0.3536284703612391,0.2797727516346875,0.22253188980598135,0.03473041054775432
deephit,5,6,0.04400227218866348,0.5791617536713474,0.45063779611962695,0.3603816057455247,0.27741451388144495,0.21631471754743273,0.03044270554185872
deephit,5,7,0.046118784695863724,0.5366062814878336,0.42341086933218997,0.36070318362096687,0.28909851002251047,0.23078572194233038,0.04255547218351378
deephit,5,8,0.04804385080933571,0.6133562010933648,0.4723978990245471,0.3910386965376782,0.2970307642834173,0.22478293493407653,0.044699324686461574
deephit,5,9,0.04922448471188545,0.6100332297137957,0.4519241076213956,0.3741022617643906,0.2855611533926466,0.22896344731482474,0.05316754207310537
deephit,6,0,0.04654262587428093,0.6011362418265623,0.4460285132382892,0.35995283524493515,0.2747346982527602,0.21524279129595883,0.047164755064851537
deephit,6,1,0.04962768778204918,0.5746596634151571,0.4421695787329832,0.36831386000643157,0.28245256726337226,0.22006645942759137,0.06013506270768571
deephit,6,2,0.04773937165737152,0.6400471647550648,0.467145460392325,0.3745310322649802,0.27891521063350844,0.21395647979419016,0.04673598456426198
deephit,6,3,0.042448729276657104,0.5801264872976739,0.43820345160252977,0.359631257369493,0.2698038374959803,0.20698895915960983,0.023260799656983598
deephit,6,4,0.0422370620071888,0.5092721620752492,0.37399506913924324,0.31353842855611536,0.2505091649694501,0.19626969664487084,0.0454496730624933
deephit,6,5,0.042935099452733994,0.5854861185550434,0.4224461357058634,0.3391574659663415,0.25790545610462,0.19584092614428128,0.04094758280630292
deephit,6,6,0.04488150775432587,0.6722049522992818,0.47443455890234754,0.3672419337549577,0.2762353950048237,0.19702004502090256,0.03183620966877479
deephit,6,7,0.04544981196522713,0.5984564261978775,0.4688605423946832,0.38943080716046735,0.297781112659449,0.22810590631364563,0.02969235716582699
deephit,6,8,0.042550839483737946,0.5783042126701683,0.4313431235930968,0.3458034087254797,0.26122842748418906,0.20795369278593634,0.026476578411405296
deephit,6,9,0.04310081899166107,0.6698467145460393,0.48172365741237005,0.3921106227891521,0.2797727516346875,0.19777039339693428,0.021224139779183193
deephit,7,0,0.04776649922132492,0.6134633937185122,0.4609282881337764,0.3783899667702862,0.2949941044056169,0.23914674670382677,0.035051988423196484
deephit,7,1,0.04347079247236252,0.6672740915425018,0.4650016078893772,0.3597384499946404,0.2769857433808554,0.2135277092936006,0.013291885518276342
deephit,7,2,0.047246053814888,0.5778754421695788,0.42448279558366386,0.3637045771250938,0.2877050058955944,0.22381820130775001,0.04920141494265195
deephit,7,3,0.04348767548799515,0.5425018758709401,0.40754636081037626,0.33572730196162504,0.25833422660520955,0.20313002465430377,0.042448279558366386
deephit,7,4,0.04261065647006035,0.5902025940615285,0.4365955622253189,0.3586665237431665,0.2736627720012863,0.2019509057776825,0.02883481616464787
deephit,7,5,0.039763838052749634,0.6057455247079001,0.40422338943080716,0.323078572194233,0.24279129595883803,0.18640797513131097,0.0158645085218137
deephit,7,6,0.047133367508649826,0.6182870618501447,0.46135705863436594,0.3774252331439597,0.274413120377318,0.21084789366491585,0.048772644442062384
deephit,7,7,0.042159900069236755,0.5651195197770393,0.4252331439596956,0.34301640047164755,0.25544002572623004,0.19841354914781864,0.03365848429628042
deephit,7,8,0.0470644012093544,0.5977060778218458,0.46457283738878763,0.3720656018865902,0.27859363275806626,0.2144924429199271,0.050166148568978455
