split,model,horizon_y,metric,est_before,lo_before,hi_before,se_before,fmi_before,df_before,m_before,est_after,lo_after,hi_after,se_after,fmi_after,df_after,m_after,_merge,fmi_delta
cv,deephit,5.0,at_risk_fraction,0.7978907227516174,0.7939290881156922,0.801730215549469,0.001962049614007,4.860149189361204e-05,41148.00014579739,30,0.7978907227516174,0.7939290881156922,0.801730215549469,0.001962049614007,4.860149189361204e-05,41148.00014579739,30,both,0.0
cv,deephit,5.0,auc,0.8434310913085937,0.8302327692508698,0.8583951279520988,0.0072103217734671,0.0292812687233699,18389.4953592733,30,0.8470773975054423,0.8339696943759918,0.8620256945490837,0.0071570430753512,0.0299771430471195,17918.707649943666,30,both,0.0006958743237495991
cv,deephit,5.0,auc_marginal_ipcw,0.8437383234500885,0.8304760694503784,0.8588392823934555,0.0072703372905611,0.0272922380133247,19810.9205970853,30,0.8473708510398865,0.8342235088348389,0.8623795628547668,0.0072289059009176,0.0294423146488439,18279.33527911031,30,both,0.0021500766355192005
cv,deephit,5.0,calib_intercept,-0.0778034429997205,-0.1919898092746734,0.0292637278791515,0.0573919985104042,0.2830913340177148,371.22760740236765,30,-0.0456704342737793,-0.1410749055445194,0.0468713759444653,0.0493165739109869,0.0416380006045012,11813.01340943454,30,both,-0.2414533334132136
cv,deephit,5.0,calib_intercept_concordant,-0.0778034429997205,-0.1919898092746734,0.0292637278791515,0.0573919985104042,0.2830913340177148,371.22760740236765,30,-0.0456704342737793,-0.1410749055445194,0.0468713759444653,0.0493165739109869,0.0416380006045012,11813.01340943454,30,both,-0.2414533334132136
cv,deephit,5.0,calib_slope,1.0140105764071146,0.8960493609309197,1.1629525184631349,0.0687768316045459,0.247934539753515,480.3792625810312,30,1.087965432802836,0.96236282736063,1.2411630183458329,0.0707617441076617,0.0369138462958873,13917.40045545488,30,both,-0.2110206934576277
cv,deephit,5.0,calib_slope_concordant,1.0140105764071146,0.8960493609309197,1.1629525184631349,0.0687768316045459,0.247934539753515,480.3792625810312,30,1.087965432802836,0.96236282736063,1.2411630183458329,0.0707617441076617,0.0369138462958873,13917.40045545488,30,both,-0.2110206934576277
cv,deephit,5.0,cindex,0.8405202368895213,0.826842799782753,0.8555402263998986,0.0072397784569799,0.0535368389001924,8090.974238355785,30,0.8441834489504496,0.8307366892695427,0.8588844850659371,0.0070780558300732,0.0324840681946114,16332.334728856797,30,both,-0.021052770705581002
cv,deephit,5.0,cindex_marginal_ipcw,0.8403233349323272,0.8271166115999222,0.8553507760167122,0.0072353401325768,0.0262529036092319,20599.08863401657,30,0.8439302364985148,0.8308344021439552,0.8588798746466637,0.0071982276636539,0.0288409718237934,18694.40687321995,30,both,0.002588068214561503
cv,deephit,5.0,e50,0.00043964953414,0.0002663539089553,0.0013508931238902,0.0003008236372879,0.1508794811340297,1254.559301869026,30,0.0006374531503145,0.0002296689068316,0.0015236248174915,0.0003376516052521,0.045206593282304,10490.39116492636,30,both,-0.10567288785172571
