split,model,deep,mean_pred,sd_mean_pred,cv_pct,range_mean_pred,mean_frac_above_001,sd_frac_above_001
temporal,logistic,False,0.053578944364243604,0.00028149268250134455,0.5253792993525294,0.0011913477639022077,0.595605102368957,0.001649513050631059
temporal,cox_naive,False,0.048829920036994635,0.00018270874741348675,0.3741737591932621,0.0008530572166506323,0.6123200057169401,0.0011044530090012308
temporal,rsf_naive,False,0.04907498340856507,0.0002263645141192268,0.46126253825634367,0.0008853646885026156,0.5841390645656913,0.003991935556933145
temporal,gbs_naive,False,0.050098260062491254,0.00034595103950917083,0.6905450190837777,0.0013515638327064872,0.5676707042555472,0.003595118515470407
temporal,logistic_cr,False,0.04234103968291109,0.000193113626280052,0.45609089367258254,0.0008529638688608079,0.6169400078607924,0.0013619220057196312
temporal,csc_cox,False,0.04218439007721723,0.00014525605473903635,0.3443360315821791,0.0006631195543873661,0.6085253867867225,0.0010759599471833452
temporal,fine_gray,False,0.042515084353826095,0.00012916436747667604,0.3038083293019553,0.0005616641015558296,0.6768535391431737,0.0011911488812544248
temporal,rsf_cr,False,0.04268281648214927,0.00017313450313285076,0.4056304560062449,0.0007316303500152638,0.5851931253796406,0.004410056359179833
temporal,deephit,True,0.0451670273148346,0.0030206800904323066,6.687799197801531,0.01477631235379901,0.5889627326973237,0.03935323931952385
temporal,nfg,True,0.0420888319499002,0.003855641382867298,9.160723175822037,0.014121841981623383,0.5280808947011112,0.03155948014044465
cv,logistic,False,0.06078050551396233,0.00010467636180373333,0.17222028826280059,0.0005185297928855248,0.6331853687908219,0.001119419003810371
cv,cox_naive,False,0.04254494552894565,4.70077674054273e-05,0.11048966409757266,0.00018624833261744744,0.588320251431719,0.0006427942399349147
cv,rsf_naive,False,0.042942877254077985,5.941763269185657e-05,0.13836434931991917,0.0002547306260659507,0.5531670622288104,0.0016084186687807557
cv,gbs_naive,False,0.04378815958255996,0.0001094571083060807,0.24996964784442668,0.0005072187875674039,0.5478543791294394,0.0014521967169599313
cv,logistic_cr,False,0.04554744154264376,3.904635117754517e-05,0.08572677159262185,0.0001554433995020199,0.6687811015798185,0.0011703890059174891
cv,csc_cox,False,0.036754157948462256,3.082122375784239e-05,0.08385778773944652,0.00012509469834721954,0.5843090082865545,0.000658098772020922
cv,fine_gray,False,0.037029854089597844,2.1108597569991847e-05,0.057004268822980646,8.972840077604849e-05,0.6278265142739882,0.0007882237454943724
cv,rsf_cr,False,0.03698288877668166,3.310823928206231e-05,0.08952312914760087,0.0001759663888774854,0.5553052578714168,0.001755061493368683
cv,deephit,True,0.039993867681427625,0.0007416257357250269,1.8543486257254973,0.003694839557826124,0.5581546553479192,0.007734278232314682
cv,nfg,True,0.03666677473255352,0.0005891007254959926,1.6066336071085543,0.002693237185206837,0.5260703803606771,0.006153642801142414
