state,split,contrast,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero
ensemble,cv,deephit - nfg,5.0,mean_pred,0.0015215487529834113,0.0012651244178414345,0.0019157360540702935,0.0012343653728112073,0.0018087321331556152,0.00014047300836338988,1.0405992744130368,29.27262744275138,30,True
ensemble,cv,deephit - nfg,5.0,obs_cif,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,5.0,eo,0.09593105713526408,0.07820794731378555,0.11854394823312757,0.07651230609173744,0.11534980817879072,0.009621918924110288,0.873650125237452,41.93203201561355,30,True
ensemble,cv,deephit - nfg,5.0,calib_intercept,-0.0727372981607914,-0.09546458777040243,-0.04910099264234305,-0.0962086200838928,-0.04926597623769,0.011668943858322544,0.8209685411738994,47.272011729656214,30,True
ensemble,cv,deephit - nfg,5.0,calib_slope,0.07034462292989095,0.01936623454093933,0.12352653443813322,0.018570574558945674,0.12211867130083623,0.026243184246975235,0.4048820632118899,185.18531891466947,30,True
ensemble,cv,deephit - nfg,5.0,ici,0.0010857343130434552,-0.0009274032723624259,0.001811814308166504,-0.0003715063087191177,0.002542974934806028,0.0007433730385407741,0.05914795066805706,6883.364106372992,30,False
ensemble,cv,deephit - nfg,5.0,e50,0.0004895217241331314,-0.00021887529583182184,0.0008646533402497879,-7.010348702760549e-05,0.0010491469352938683,0.0002854234984323818,0.09016814309413651,3297.149994572021,30,False
ensemble,cv,deephit - nfg,5.0,e90,0.003041452099569142,-0.0038610965653788298,0.005531447927933184,-0.001978856280680185,0.008061760479818469,0.002561032147085145,0.05471526665269785,7814.197468520094,30,False
ensemble,cv,deephit - nfg,5.0,obs_concordant,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,5.0,eo_concordant,0.09593105713526408,0.07820794731378555,0.11854394823312757,0.07651230609173744,0.11534980817879072,0.009621918924110288,0.873650125237452,41.93203201561355,30,True
ensemble,cv,deephit - nfg,5.0,calib_intercept_concordant,-0.0727372981607914,-0.09546458777040243,-0.04910099264234305,-0.0962086200838928,-0.04926597623769,0.011668943858322544,0.8209685411738994,47.272011729656214,30,True
ensemble,cv,deephit - nfg,5.0,calib_slope_concordant,0.07034462292989095,0.01936623454093933,0.12352653443813322,0.018570574558945674,0.12211867130083623,0.026243184246975235,0.4048820632118899,185.18531891466947,30,True
ensemble,cv,deephit - nfg,5.0,ici_concordant,0.0010857343130434552,-0.0009274032723624259,0.001811814308166504,-0.0003715063087191177,0.002542974934806028,0.0007433730385407741,0.05914795066805706,6883.364106372992,30,False
ensemble,cv,deephit - nfg,5.0,e50_concordant,0.0004895217241331314,-0.00021887529583182184,0.0008646533402497879,-7.010348702760549e-05,0.0010491469352938683,0.0002854234984323818,0.09016814309413651,3297.149994572021,30,False
ensemble,cv,deephit - nfg,5.0,e90_concordant,0.003041452099569142,-0.0038610965653788298,0.005531447927933184,-0.001978856280680185,0.008061760479818469,0.002561032147085145,0.05471526665269785,7814.197468520094,30,False
ensemble,cv,deephit - nfg,5.0,auc,0.0004191716512044271,-0.0017479747533798219,0.002650631964206694,-0.0018071370063392346,0.0026454803087480887,0.0011322054869714385,0.2824559355329173,372.8531162190651,30,False
ensemble,cv,deephit - nfg,5.0,cindex,0.0007227222124735514,-0.0017190203070640564,0.0033189564943313554,-0.0018528833706751506,0.003298327795622253,0.0013089240070643371,0.31226857403065916,306.7607510466669,30,False
ensemble,cv,deephit - nfg,5.0,auc_marginal_ipcw,0.0003738602002461751,-0.001817457377910614,0.002645519375801084,-0.0018884437868522828,0.002636164187344633,0.0011496572518605397,0.3139125854187917,303.6445567131257,30,False
ensemble,cv,deephit - nfg,5.0,cindex_marginal_ipcw,0.000289680560429891,-0.0018965646624565125,0.0025552839040756197,-0.0019689079585583787,0.0025482690794181606,0.0011476077020357658,0.3195392276684024,293.3346158431682,30,False
ensemble,cv,deephit - nfg,5.0,at_risk_fraction,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,5.0,nb_at_0.01,9.135892614722251e-05,-0.00014279477763921023,0.00034965763334184855,-0.00015876012923458062,0.00034147798152902567,0.00012736550455777688,0.2171676168826012,621.2883802883854,30,False
ensemble,cv,deephit - nfg,5.0,nb_at_0.02,-0.00016143216441075008,-0.00042335252510383725,0.0001273479545488953,-0.00043839804743790186,0.0001155337186164017,0.00014093920324346495,0.25377743081990095,459.12160169206305,30,False
ensemble,cv,deephit - nfg,5.0,nb_at_0.03,-0.00024398515621821087,-0.000509269058238715,4.7113676555454246e-05,-0.0005283807893045741,4.0410476868152416e-05,0.00014477116918809512,0.2356815373724996,530.0773945198883,30,False
ensemble,cv,deephit - nfg,5.0,nb_at_0.05,9.464373967299859e-05,-0.0002018597675487399,0.0004290473356377331,-0.00022360890039561931,0.00041289637974161646,0.00016169573983124553,0.3222480959638161,288.5591995116209,30,False
ensemble,cv,deephit - nfg,5.0,nb_at_0.075,-7.51224501679341e-05,-0.00031253873894456776,0.00016439704777440053,-0.0003191872789701269,0.00016894237863425868,0.0001238725308702157,0.3613876005087506,230.92206602235456,30,False
ensemble,cv,deephit - nfg,5.0,nb_at_0.2,1.0438079137505459e-05,-6.075186684029177e-05,0.00010327817290090024,-7.262978363922637e-05,9.35059419142373e-05,4.230964864135794e-05,0.2033579683992446,705.6623196734212,30,False
ensemble,cv,deephit - nfg,5.0,frac_above_0.01,0.054650757710138956,0.04746747016906738,0.06058984994888306,0.04756446628438184,0.061737049135896074,0.0034843004513591997,0.98277859766689,33.31821676694108,30,True
ensemble,cv,deephit - nfg,5.0,frac_above_0.02,0.044364256163438164,0.03944821655750275,0.04792938455939291,0.03996791766509078,0.04876059466178555,0.002177014714424224,0.8830837734804425,41.07134010227777,30,True
ensemble,cv,deephit - nfg,5.0,frac_above_0.03,0.034324263036251065,0.03044883906841278,0.03818456828594208,0.030374585518867955,0.03827394055363417,0.001953737141054171,0.8990965288762192,39.668721178110744,30,True
ensemble,cv,deephit - nfg,5.0,frac_above_0.05,0.016026882082223894,0.013114303350448608,0.021036551520228368,0.01218246875973427,0.019871295404713517,0.001890837651656172,0.9789513261787888,33.5805154706468,30,True
ensemble,cv,deephit - nfg,5.0,frac_above_0.075,0.0020056214183568955,-0.000826224684715271,0.005646077357232553,-0.0007345009969999183,0.004745743833713709,0.0013461647857722376,0.9936225776748497,32.583810456920816,30,False
ensemble,cv,deephit - nfg,5.0,frac_above_0.2,0.0002929589948810947,0.00011340348282828927,0.0005508168833330274,6.0192085116185566e-05,0.0005257259046460038,0.00011648481636551537,0.7064008383701434,63.13056620689681,30,True
ensemble,cv,deephit - nfg,5.0,nb_all_at_0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,5.0,nb_all_at_0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,5.0,nb_all_at_0.03,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,5.0,nb_all_at_0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,5.0,nb_all_at_0.075,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
