part,model,split,imp,rep,fold,secs,status,seed_used,mean_risk10,n_epochs
deephit__cvr2f4__imp1,deephit,cv,1,2,4,156.4,fitted,20262107,0.04012057684345485,21
deephit__cvr2f3__imp1,deephit,cv,1,2,3,156.8,fitted,20262106,0.040181502444979096,27
deephit__cvr1f3__imp2,deephit,cv,2,1,3,157.0,fitted,20263006,0.04151666006514972,23
deephit__cvr2f3__imp2,deephit,cv,2,2,3,157.9,fitted,20263106,0.03762262266246903,22
deephit__cvr2f2__imp4,deephit,cv,4,2,2,159.1,fitted,20265105,0.03845751054818343,21
deephit__cvr0f2__imp4,deephit,cv,4,0,2,159.2,fitted,20264905,0.040944808092137054,23
deephit__cvr1f2__imp1,deephit,cv,1,1,2,161.1,fitted,20262005,0.03721829880304269,23
deephit__cvr1f2__imp4,deephit,cv,4,1,2,162.4,fitted,20265005,0.04295656864804131,29
deephit__cvr0f0__imp3,deephit,cv,3,0,0,162.3,fitted,20263903,0.03879727936860544,22
deephit__cvr1f1__imp1,deephit,cv,1,1,1,163.4,fitted,20262004,0.03940534160761785,21
deephit__cvr2f0__imp2,deephit,cv,2,2,0,164.1,fitted,20263103,0.03935017253856791,27
deephit__cvr2f3__imp5,deephit,cv,5,2,3,54.0,fitted,20266106,0.03880596831710125,14
deephit__cvr2f0__imp5,deephit,cv,5,2,0,62.7,fitted,20266103,0.04255498113171681,15
deephit__cvr2f2__imp5,deephit,cv,5,2,2,62.6,fitted,20266105,0.03907179005262013,16
deephit__cvr0f2__imp1,deephit,cv,1,0,2,178.6,fitted,20261905,0.04164400037591707,21
deephit__cvr2f3__imp4,deephit,cv,4,2,3,179.6,fitted,20265106,0.04049991747732664,25
deephit__cvr1f4__imp5,deephit,cv,5,1,4,73.6,fitted,20266007,0.03641863870217436,20
deephit__cvr1f4__imp1,deephit,cv,1,1,4,188.3,fitted,20262007,0.036687407710976824,25
deephit__cvr1f0__imp6,deephit,cv,6,1,0,54.2,fitted,20267003,0.039859064281655594,15
deephit__cvr1f3__imp6,deephit,cv,6,1,3,58.8,fitted,20267006,0.03703160305531484,15
deephit__cvr2f4__imp6,deephit,cv,6,2,4,57.9,fitted,20267107,0.03642585020227089,15
deephit__cvr1f4__imp6,deephit,cv,6,1,4,66.8,fitted,20267007,0.042851255802176115,17
deephit__cvr2f1__imp5,deephit,cv,5,2,1,94.4,fitted,20266104,0.039165238132742176,20
deephit__cvr2f1__imp6,deephit,cv,6,2,1,69.6,fitted,20267104,0.04719073428730546,18
deephit__cvr0f1__imp6,deephit,cv,6,0,1,75.4,fitted,20266904,0.04066336537894832,19
deephit__cvr1f1__imp7,deephit,cv,7,1,1,50.6,fitted,20268004,0.03832063373232756,14
