state,split,contrast,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero
single_seed,cv,deephit - nfg,5.0,mean_pred,0.0014498076091210047,0.000635486375540495,0.002786253998056054,0.000444208818345991,0.0024554063998960185,0.00048799225708165514,1.0682242078286843,24.72844563900654,30,True
single_seed,cv,deephit - nfg,5.0,obs_cif,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
single_seed,cv,deephit - nfg,5.0,eo,0.09140791495641072,0.040044309198856355,0.1721729755401611,0.028012860567473305,0.15480296934534815,0.030994392895347823,1.044130535546747,28.953701136730704,30,True
single_seed,cv,deephit - nfg,5.0,calib_intercept,-0.06720247715711594,-0.1371103435754776,-0.0005229634582065149,-0.13655742413581973,0.0021524698215878574,0.03409043852325725,0.9869806155197529,33.0322418345862,30,True
single_seed,cv,deephit - nfg,5.0,calib_slope,0.05254635413487752,-0.04953379482030869,0.14121950417757032,-0.0459011002353528,0.15099380850510785,0.04916349221793716,0.7447665756389474,57.01979380565065,30,False
single_seed,cv,deephit - nfg,5.0,ici,0.0006467845640145242,-0.0009029239212395623,0.0017813249025493852,-0.000807131816780861,0.0021007009448099096,0.000740347798993733,0.21831141996860265,614.990562558765,30,False
single_seed,cv,deephit - nfg,5.0,e50,0.00015648964278322335,-0.00032529400123166853,0.000792920238745864,-0.00046254189424829576,0.0007755211798147425,0.0003149955610211154,0.255351667515328,453.6369627719804,30,False
single_seed,cv,deephit - nfg,5.0,e90,0.0022028279413158695,-0.003319034696323797,0.005958193668629973,-0.002824592479606421,0.0072302483622381595,0.0025603718332373572,0.2100822466575591,662.5570644528376,30,False
single_seed,cv,deephit - nfg,5.0,obs_concordant,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
single_seed,cv,deephit - nfg,5.0,eo_concordant,0.09140791495641072,0.040044309198856355,0.1721729755401611,0.028012860567473305,0.15480296934534815,0.030994392895347823,1.044130535546747,28.953701136730704,30,True
single_seed,cv,deephit - nfg,5.0,calib_intercept_concordant,-0.06720247715711594,-0.1371103435754776,-0.0005229634582065149,-0.13655742413581973,0.0021524698215878574,0.03409043852325725,0.9869806155197529,33.0322418345862,30,True
single_seed,cv,deephit - nfg,5.0,calib_slope_concordant,0.05254635413487752,-0.04953379482030869,0.14121950417757032,-0.0459011002353528,0.15099380850510785,0.04916349221793716,0.7447665756389474,57.01979380565065,30,False
single_seed,cv,deephit - nfg,5.0,ici_concordant,0.0006467845640145242,-0.0009029239212395623,0.0017813249025493852,-0.000807131816780861,0.0021007009448099096,0.000740347798993733,0.21831141996860265,614.990562558765,30,False
single_seed,cv,deephit - nfg,5.0,e50_concordant,0.00015648964278322335,-0.00032529400123166853,0.000792920238745864,-0.00046254189424829576,0.0007755211798147425,0.0003149955610211154,0.255351667515328,453.6369627719804,30,False
single_seed,cv,deephit - nfg,5.0,e90_concordant,0.0022028279413158695,-0.003319034696323797,0.005958193668629973,-0.002824592479606421,0.0072302483622381595,0.0025603718332373572,0.2100822466575591,662.5570644528376,30,False
single_seed,cv,deephit - nfg,5.0,auc,1.8010536829630535e-05,-0.0037792623043060303,0.004187361896038054,-0.004083971654033933,0.004119992727693195,0.0020750685430563636,0.4640393043985607,142.14563351292696,30,False
