model,protocol,alpha,sigma,n_rep,eo_median,eo_p10,eo_p90,ici_median,ici_p10,ici_p90,calib_slope_median,calib_slope_p10,calib_slope_p90,cindex_median,cindex_p10,cindex_p90,auc_median,auc_p10,auc_p90,brier_median,brier_p10,brier_p90
deephit,inner_oof,0.0,0.05,30,4.776180001820203,4.616298969430236,4.939047683747764,0.1576033694310332,0.1511619458686002,0.1647818101190893,5.613255880768122,3.627835078099413,6.270798742730699,0.8125319958520011,0.7956835104259555,0.8179389679813115,0.8188896399187653,0.8014258804737139,0.8241902766243256,0.0625523952467649,0.0603714718314748,0.0647155972212601
deephit,inner_oof,0.2,0.05,15,1.3996897413512006,1.1753047429596544,1.538714408117362,0.0229106338248741,0.01856635322541886,0.0274494013909066,2.3038854965184434,1.4950390686532748,2.6136076928248544,0.8215493494142864,0.7950021680185937,0.8280985204362628,0.8279826609439614,0.8008960364141069,0.8342947069725171,0.0376473036556134,0.03734143105810362,0.03827925390642968
deephit,inner_oof,1.0,0.05,30,1.0668974750073208,1.014151699745535,1.118101029555807,0.0036033088776863,0.0017733374824943,0.0050829288355498,1.014567019765638,0.9268734852861774,1.0410773509356892,0.8333858244473238,0.8285537752868194,0.8346886693920983,0.8397807546734397,0.8349475331636275,0.8412135677306283,0.0365025119444999,0.0363053211937387,0.0366665821049181
deephit,inner_oof,0.0,0.1,30,4.804101292524804,4.547649624879022,4.920897479560981,0.1583041324704717,0.1471773101939306,0.1655631664097877,3.7026061064656464,3.3082187587697733,4.100877530110216,0.8257743417469035,0.8235477500429711,0.8325343643440375,0.8321970544117584,0.8303433599383095,0.8387893002696585,0.0649609949109403,0.0617675738616808,0.0667111156397035
deephit,inner_oof,0.05,0.1,15,2.0127884880911435,1.9594528614182498,2.056263016678343,0.0437874234238196,0.040994122290690056,0.04470567812364864,2.32794101566169,2.0231191957220886,2.5110890112383015,0.8326868984852459,0.8291453753217308,0.8351164390431153,0.8389949036014771,0.8356276623376007,0.8416178180690665,0.0394795787570923,0.03906524253256966,0.03960636470496904
deephit,inner_oof,0.1,0.1,15,1.6934297105511915,1.6013631763601217,1.7498821148425538,0.0308754155052328,0.02714581962129096,0.03256739441039142,2.005882157920036,1.7805450593745216,2.1874804959987757,0.8323608531266478,0.829085988696087,0.8367006673499422,0.8387765984471963,0.8353628708872805,0.8432330387935025,0.0379960104722185,0.037599259024710376,0.0382752636769485
deephit,inner_oof,0.2,0.1,15,1.4266579658110174,1.3618895642075333,1.4896039230816949,0.019211226900858,0.015998233827409163,0.0221600621554842,1.6347038983795887,1.4671199627454614,1.686548394388125,0.8334507894644175,0.8313891089577229,0.8364516735232458,0.8399013626325204,0.8379058232276684,0.8429149709140136,0.0370631727959076,0.0368532769231883,0.03733525548392046
deephit,inner_oof,0.3,0.1,15,1.3106836703097744,1.2532239473047264,1.3517934238139055,0.0146984837702543,0.01180193133515356,0.0160550097753368,1.3706985472592996,1.3107876174213011,1.5214243366896527,0.833334631084122,0.8313565102326875,0.8349922733467594,0.839831799380531,0.8377036624458629,0.8414469013963458,0.0367727518913856,0.03667492110626726,0.03691591588546878
deephit,inner_oof,0.5,0.1,15,1.2170188706498262,1.172885027560799,1.2434818782802401,0.0094737843893177,0.00798071491538988,0.010398389914324001,1.229238931010519,1.1518253120107107,1.284601748136361,0.8333463689494646,0.8305690621712889,0.8349348972663674,0.8398123311666635,0.8369054419355773,0.8413505812211508,0.0365930554312325,0.03647305104332168,0.03666324788402256
deephit,inner_oof,0.7,0.1,15,1.1609849807803247,1.121143452188529,1.200429750343631,0.0068941869806972,0.00485282580241782,0.00852311225785842,1.0689515450416094,0.9987882939652065,1.1701143212541958,0.8330461817595665,0.8300099911315197,0.8351910965153532,0.8393198090975438,0.8365557500794161,0.8416558760530048,0.036466410508802,0.03636549342563676,0.03664950165097688
