model,config,protocol,n_seeds,eo_median,eo_p10,eo_p90,eo_min,eo_max,ici_median,ici_p10,ici_p90,ici_min,ici_max,calib_slope_median,calib_slope_p10,calib_slope_p90,calib_slope_min,calib_slope_max,cindex_median,cindex_p10,cindex_p90,cindex_min,cindex_max,auc_median,auc_p10,auc_p90,auc_min,auc_max,brier_median,brier_p10,brier_p90,brier_min,brier_max
deephit,default,inner_oof,12,1.454843609056588,1.3860023414229459,1.4853073464503352,1.3775899152072335,1.494203280816592,0.020296617889247102,0.01841818351319763,0.02209776401840789,0.0178393265777125,0.0230115688141772,1.6350337998985907,1.5388667833941359,1.7774127252389005,1.45455890192356,1.855506175603697,0.8329805194435416,0.8315272322543523,0.8346195438247149,0.8312800978914726,0.8363843841763813,0.8395499257596284,0.8379846932355554,0.8410272901623317,0.8375920051168164,0.8428973308129118,0.0371499838383944,0.03689564903977302,0.03724554519559964,0.0368770228298642,0.0372621429604318
deephit,tuned_brier,inner_oof,12,1.0803004787301826,1.0348539508993726,1.1562341208081104,1.0189454425518285,1.1722176241695426,0.0041968823436538995,0.00284314583883005,0.006822430006831571,0.002319602394769,0.0078471853534081,1.0703424224551235,1.0095891677363011,1.1190845270949072,0.9653988554572864,1.1778588106032195,0.8334872233335746,0.8324599683588989,0.8360044550428717,0.8312792843760528,0.8365539440331607,0.8399719349077895,0.8388538599532668,0.8426336908362168,0.8376965874120429,0.8429189357819598,0.036343914702639146,0.036268908354963936,0.03642234930431399,0.036252612953277,0.0364299716463327
deephit,tuned_cindex,inner_oof,12,1.5272915274219327,1.4936179150088955,1.5641162333010996,1.4720021453467411,1.5701166442409973,0.02328833507798005,0.02202218341852683,0.02460085141283898,0.0211413805799059,0.0246524316047742,1.1837040961319452,1.1332288808887647,1.2067996146634334,1.0710068285748235,1.2992330865750503,0.8368337642834422,0.8357040877174164,0.83831637289269,0.8344210228189913,0.8385308446114657,0.8433802968380297,0.8421941602955749,0.8449746011034204,0.8410537859265707,0.8451519636542693,0.0375923344060674,0.037405739793917106,0.03771537839521262,0.037392831158399,0.0380085770393877
nfg,default,inner_oof,12,0.9601182242006786,0.946929996982396,0.9834152578262371,0.9411605283376436,1.0050644517588243,0.00354603610548325,0.0030006333008539498,0.00431651368870811,0.0029494132059127,0.0045618392762265,0.878446951829434,0.8500672186107167,0.9157505684202991,0.846365557546155,0.916831059874295,0.8316046033815977,0.8299732841536145,0.8346620906811693,0.8298302971969397,0.834921799668109,0.8380724782608902,0.836527479621291,0.8412305905469001,0.8362967753515318,0.8414960942489472,0.03642396789248055,0.03632488742154895,0.03650174642543596,0.0362840520923767,0.0365388423841477
nfg,tuned_brier,inner_oof,12,0.9948801216021537,0.9616548778566045,1.0163112966839811,0.9424962477346128,1.0329019493654754,0.00265102839421525,0.00160506281351467,0.00390650172617055,0.0015317807750692,0.0044378929968091,0.9195323474006738,0.8696539300302918,1.012564612868624,0.8629257209664942,1.0638466320414166,0.8328994584427851,0.8286886968191897,0.8341349559324508,0.8280964634044156,0.8341941682333618,0.839416052112135,0.8352972368906508,0.8406133650712703,0.8344926417274099,0.8409234438605563,0.036425731176586346,0.03635835557512681,0.03649632165619089,0.0362055289657877,0.0365234647088587
nfg,tuned_cindex,inner_oof,12,1.0224002990358643,0.9657531869835547,1.0423459575114755,0.962671947112928,1.0472886416880602,0.0033492345918509497,0.00197851458472463,0.00400549079267204,0.0016297591250309,0.0040353003164512,0.9654483277922121,0.9376191530971356,1.0165024012024715,0.927823874655452,1.0361881920945146,0.8330804075154414,0.8315247452214976,0.8344099706309311,0.8296406899958871,0.8347381195079719,0.8396288076383774,0.8381013660038452,0.8411817597555932,0.836143107041463,0.8413404672466295,0.036422439288417846,0.03636321237389744,0.03649864636481489,0.0363001834918402,0.0365036235388076
deephit,default,temporal_test,12,1.7619133578007944,1.6785644165608928,1.9289315526956117,1.593049197248227,2.0651215040826485,0.0257895915346916,0.02288471379878247,0.0308238482697713,0.0202609618477468,0.0353510955940271,1.2840344496634075,1.1043941421224701,1.5147985615002395,1.085460046021551,1.5504145549374817,0.8239387270199203,0.8193547317760446,0.8276265823924355,0.8187025420053932,0.8292550587029558,0.8239928887155401,0.8193907654254049,0.8282314104911495,0.8179122017181499,0.8293694189057571,0.0322561592256244,0.03179730434658582,0.03254537823947981,0.0316660273350034,0.0332700481530233
deephit,tuned_brier,temporal_test,12,1.390152930104561,1.3734551613002994,1.4402970313878645,1.3172843938893462,1.4508759084242098,0.0129161492519131,0.01246344104170386,0.01486047080237199,0.0111352942179531,0.015336087768648,0.9169138174991881,0.8225938379112798,1.0015534036564218,0.7971357218679348,1.0362216338754615,0.8250119739112682,0.8215713175308937,0.8269472201431057,0.8187586650381349,0.8272894427620263,0.8247464289338882,0.8217656572787746,0.8273497725427627,0.8189809225994064,0.8275722158003139,0.03142802547680815,0.031241205920891732,0.03158236366398698,0.0311500714745307,0.0318453545988279
deephit,tuned_cindex,temporal_test,12,1.9292291989953392,1.8578109020070714,1.987277618817765,1.849813408750315,2.00558390189832,0.030717367229422102,0.02831463340030528,0.032688262746043625,0.0281666088324645,0.0332697577196551,0.930269582935062,0.8546898905472379,1.0142339411595316,0.8444594441541764,1.0168014014518223,0.8257263710154865,0.8248943550093729,0.8271319363092711,0.8244407027859022,0.8283398715113925,0.8260360543137455,0.8253511146190868,0.8275490142889991,0.8243203287187277,0.8288696700513244,0.033692071894573544,0.03339088630340674,0.033992429769756166,0.0328884161589076,0.0348483013114849
nfg,default,temporal_test,12,1.224074241612512,1.1602394728486418,1.3375827137876066,1.1320342806456103,1.4159014082247892,0.00810796430027455,0.005948295920504629,0.01103565378524576,0.0057143547317611,0.0132196269720312,0.8223068993915532,0.7919070936193188,0.854787948559094,0.7884718111292969,0.9009596712872792,0.8224906001451393,0.8204161835051607,0.826746676496146,0.8175942994786578,0.8280008564142293,0.8226850901049578,0.8210850395941198,0.826979836180578,0.8167108540107798,0.8284474514333888,0.03119843905256065,0.03094022223635895,0.03151787769742135,0.0309339486725879,0.0315820249922206
