panel,layer,model,family,x,y,lo,hi,flag_sparse,n,n_events,at_risk_fraction,split,horizon_y
A,smooth,cox_naive,naive,0.0263186532400052,0.0178825743672322,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0276722236126432,0.0196550066783135,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0291124360291252,0.0215416184291147,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0305390598458693,0.0234040872833626,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0321478611067423,0.0254859807382705,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0339570263689701,0.0277977702097474,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0359573397079392,0.0303068103471965,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0377436200396873,0.0324979294319034,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0395585793853936,0.0346712474783972,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.041599521135741,0.0370517155925184,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0437942253547169,0.0395343233813813,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0460703323052214,0.0420167405927752,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0482228893525514,0.0442810865886379,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0504392731043984,0.0465310532970963,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0531082732884926,0.0491284599394575,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0558471579949213,0.0516752763714901,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0590913385549615,0.0545470804047188,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0624025376699834,0.0573176369482693,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0652153175804056,0.0595595768824725,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.068423673500433,0.0619958059575812,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0718166782729543,0.0644464269207308,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0758723035702413,0.0672172248673544,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0803621539867546,0.0701064039893793,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0848086136114355,0.0728044912852166,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0900244421117053,0.0757857054406894,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.0952127996645374,0.0785817539257754,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1011053745622842,0.0815819291811259,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1072062284707573,0.0845224390054546,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1140739887946889,0.0876664157275739,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1217805404732267,0.0910241668726833,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1300948225039998,0.0944888303489542,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1381815265198339,0.0977428786819942,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1467549873777981,0.1011017096536344,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1557501939490585,0.1045492152174201,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1668757367947366,0.1087076112878503,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1777861428230153,0.1126905939302188,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.1915711908254552,0.1176007799012354,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.2082926923131457,0.1233970264459845,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.2283812890217304,0.1301649363802566,,,False,,,,temporal,10
A,smooth,cox_naive,naive,0.2608434375324594,0.1407314714978397,,,False,,,,temporal,10
A,decile,cox_naive,naive,0.0016948020975699,0.0006430868167202,0.0,0.0021454090746695,True,933.0,0.6,0.7117541979278313,temporal,10
A,decile,cox_naive,naive,0.0032439494541372,0.0041443372633083,0.0006243301178992,0.0085950339406931,True,933.0,3.8666666666666663,0.7450518042157913,temporal,10
A,decile,cox_naive,naive,0.0052980855123006,0.002725004068864,0.0,0.0064740117458222,True,933.0,2.466666666666667,0.7546266523758486,temporal,10
A,decile,cox_naive,naive,0.0084554684609889,0.0037397965310462,0.0004269381922115,0.0080229697023917,True,933.0,3.466666666666667,0.7663093962129331,temporal,10
A,decile,cox_naive,naive,0.0137688414831766,0.0097025344164449,0.0040035582094568,0.0165038431190114,True,932.0,8.866666666666667,0.7679899856938484,temporal,10
A,decile,cox_naive,naive,0.022395000317777,0.0114341682712814,0.0050190180214226,0.0188745282693786,True,933.0,10.3,0.7516613076098607,temporal,10
A,decile,cox_naive,naive,0.0370446325203747,0.0269802929022104,0.0171806804162608,0.0378676647475602,False,933.0,25.066666666666663,0.7754555198285101,temporal,10
A,decile,cox_naive,naive,0.0610487231941576,0.064421543891279,0.0492385020258147,0.0805097147431733,False,933.0,59.7,0.8284030010718113,temporal,10
A,decile,cox_naive,naive,0.1062968758352053,0.0700771514993472,0.0539812521684869,0.0873523679411168,False,933.0,63.43333333333333,0.8162915326902466,temporal,10
