row,panel_metric,protocol,alpha,sigma,est,lo,hi,n_replicates,ci_excludes_zero,units,contrast,horizon_y
sweep,cindex,inner_oof,0.05,0.1,0.8326868984852459,0.8291453753217308,0.8351164390431153,15.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,inner_oof,0.1,0.1,0.8323608531266478,0.829085988696087,0.8367006673499422,15.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,inner_oof,0.2,0.1,0.8334507894644175,0.8313891089577229,0.8364516735232458,15.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,inner_oof,0.3,0.1,0.833334631084122,0.8313565102326875,0.8349922733467594,15.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,inner_oof,0.5,0.1,0.8333463689494646,0.8305690621712889,0.8349348972663674,15.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,inner_oof,0.7,0.1,0.8330461817595665,0.8300099911315197,0.8351910965153532,15.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,inner_oof,0.85,0.1,0.8326171685921221,0.8290785857057671,0.8344970284024963,15.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,inner_oof,0.95,0.1,0.83134238992933,0.828709319435081,0.8344322841967308,15.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,inner_oof,1.0,0.1,0.8333858244473238,0.8285537752868194,0.8346886693920983,30.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.0,0.1,0.824846986828298,0.820194280668244,0.8257871098605891,10.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.05,0.1,0.8240255134818717,0.8221242556715642,0.82545656800475,5.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.1,0.1,0.8207520272245524,0.8202801271123922,0.8265219613362284,5.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.2,0.1,0.8225432784481732,0.8213039674378293,0.8250945860652072,5.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.3,0.1,0.8258748894692455,0.8208528017085207,0.8273320611197348,5.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.5,0.1,0.824078921670176,0.8218643693760197,0.8253570190836668,5.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.7,0.1,0.824206462795349,0.8207993117961571,0.8260192618094783,5.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.85,0.1,0.825213190062944,0.8216330135173684,0.8279305983743522,5.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,0.95,0.1,0.8250902034575238,0.8203409291853936,0.8262397207151234,5.0,,Truncated IPCW concordance,deephit - nfg,10
sweep,cindex,temporal_test,1.0,0.1,0.8226125189908565,0.8205976424474051,0.8247036296495501,10.0,,Truncated IPCW concordance,deephit - nfg,10
contrast,cindex,temporal,,,0.0005631109078725,-0.0030759185552597,0.0045218676328659,,False,Δ concordance,deephit - nfg,10
contrast,cindex,cv,,,0.0014123320579528,-0.0002642825245857,0.0031632885336875,,False,Δ concordance,deephit - nfg,10
