panel,layer,model,family,x,y,lo,hi,flag_sparse,n,n_events,at_risk_fraction,split,horizon_y
A,smooth,cox_naive,naive,0.0260285443338868,0.0250968880528473,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0272911964643451,0.0269605123494431,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0286691978949286,0.0289693016272384,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0300459129588268,0.030945836856619,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0315486044632062,0.0330647427481674,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0331160550179615,0.0352309056617441,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0347329530245126,0.0374158527404251,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0364624859213277,0.0396952737110975,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0382961988944254,0.0420471412499693,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0402577058714332,0.0444892831731039,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0423250607994776,0.0469843604845086,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0444044027235081,0.0494127344548003,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0466067707128071,0.0518983698293931,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0488850113453481,0.0543836634347463,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.051324162081724,0.0569508387466774,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0539513672770795,0.0596161936634748,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0566999477328394,0.0622999392161651,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0595385933298538,0.0649658046194948,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0625120366301266,0.0676542906712227,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0657120235260855,0.0704387977653779,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0691434096742192,0.0733108104433859,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0728544882283318,0.0762972337576077,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0768526770243141,0.0793907770209173,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0810069089475654,0.0824859484862988,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0855307967239643,0.0857352484176893,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0903931620013869,0.0891064399682205,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.0957568156734595,0.0927010707763284,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1016111323769268,0.0965012829463253,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1077653750030669,0.1003830925105797,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1144774439888524,0.104513057073646,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1219102695670131,0.1089900578740797,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1301238819014895,0.1138412845122577,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1399444362367483,0.1195236363408656,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1513541091024569,0.1259806435586503,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1644999438226757,0.1332513802879802,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.1810094968482128,0.1421586035073604,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.2022397045247646,0.1533034112028561,,,False,,,,cv,10
A,smooth,cox_naive,naive,0.2315046387453855,0.1682045712565718,,,False,,,,cv,10
A,decile,cox_naive,naive,0.001462252686028,0.0013931225187569,0.0002269298980455,0.0028352263830449,True,4115.0,4.266666666666667,0.545594707708924,cv,10
A,decile,cox_naive,naive,0.00288665175016,0.002918139860327,0.0011837327202377,0.0049672636519007,True,4115.0,9.066666666666666,0.5212150668286756,cv,10
A,decile,cox_naive,naive,0.0047416906133053,0.0051305558153998,0.0027711592489912,0.0077834124193258,False,4115.766666666666,16.155555555555555,0.5331476161218022,cv,10
A,decile,cox_naive,naive,0.0075741083777555,0.0075627969966307,0.004760114897829,0.0106557155073136,False,4114.233333333334,25.122222222222224,0.5422098287112159,cv,10
A,decile,cox_naive,naive,0.0122186871940292,0.0123301490785874,0.0085754850261072,0.0164266473449283,False,4115.0,37.95555555555556,0.5343620899149454,cv,10
A,decile,cox_naive,naive,0.0201164027560173,0.0158691106177509,0.0115868968122016,0.020425742017646,False,4115.822222222222,49.833333333333336,0.532055158077426,cv,10
A,decile,cox_naive,naive,0.0326500615161279,0.0289851069562599,0.023083052816186,0.0351690070289632,False,4115.011111111111,88.77777777777777,0.5239705063725879,cv,10
A,decile,cox_naive,naive,0.0532012748763775,0.0524525462930884,0.044567977353963,0.0606552366137502,False,4114.166666666667,158.93333333333334,0.5611262041142938,cv,10
A,decile,cox_naive,naive,0.0895462744652826,0.0813951618633967,0.0717580964889566,0.091318858163396,False,4115.0,247.4333333333333,0.5851599837991089,cv,10
A,decile,cox_naive,naive,0.2010207334447716,0.1618986234782539,0.1490075589236744,0.1751085047653873,False,4116.0,518.4555555555555,0.6466472303206997,cv,10
A,smooth,csc_cox,competing,0.0008133343642568,1.3079245530784384e-05,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0009823054439157,2.087303073074044e-05,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0011239101139168,2.9282527297125328e-05,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0012631381125458,3.930549088708836e-05,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0013984385573832,5.07694069552373e-05,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0015375310072645,6.444992464762982e-05,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0016713954585651,7.953105729247135e-05,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.001800629209104,9.60176812578712e-05,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0019307529035299,0.0001145985113085,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0020601793162401,0.0001350780735018,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.002190276054372,0.0001577392112305,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0023308570788896,0.0001847021231535,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0024751644097456,0.0002150292586914,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0026263718351567,0.0002498243746669,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0027743458627037,0.0002869609545955,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0029299864143204,0.000329257662056,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0030905131421817,0.0003767243380481,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.003252322633921,0.000428107028739,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0034148470167521,0.0004835574665254,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0035833658322235,0.0005450808012093,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0037602740914595,0.0006145074340093,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0039437529290024,0.0006914106193347,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0041366441019782,0.000777637091213,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0043420965212948,0.0008754546413025,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0045552634396918,0.0009837273242286,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.00476832837407,0.0010985636969707,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0049860967889446,0.0012228881771733,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0052213397750047,0.0013651249289752,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0054745646815429,0.0015270073404469,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0057373233760725,0.0017046304054383,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0060155338607884,0.0019034234971724,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0062988510806116,0.0021169424510658,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0065899830048418,0.0023472877839534,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.006890785271713,0.0025968799681897,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0072127720931031,0.0028767140813875,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0075702626955542,0.0032019146924546,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0079364102870348,0.0035508401106991,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0082991111460654,0.0039109678223027,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0086839041036246,0.0043083858319002,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0090968278917711,0.0047515157226266,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0095195264827973,0.005221376744386,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.009967891478046,0.0057373099785955,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0104465180945594,0.0063056866719949,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0109610345809108,0.0069357303096941,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0115288359655103,0.0076512286073902,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0121072227266855,0.0083995580124041,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0127208585256085,0.0092120597185762,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0133771109357696,0.0100989808410237,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0140528064238801,0.0110276817591348,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0147513997369887,0.0120010040283826,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0154868654921506,0.0130361240193235,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0162600845103455,0.0141326160043885,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0170821279998984,0.0153043262872396,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0179575512350663,0.0165563311951546,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0188450629136653,0.0178271292491145,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0197649377574863,0.0191433628167335,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0207149824547104,0.020499592918995,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.021711246317917,0.0219159171062419,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.02274860300321,0.0233828070925855,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0238251270515219,0.0248942762923808,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0249661979474575,0.0264826545967789,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0261243938691068,0.0280794638292689,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0273997484918087,0.0298190510771287,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.028685509423484,0.0315516134332432,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0300530792211896,0.0333700260449074,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.031484135953147,0.0352464404372536,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0329596679505313,0.0371524176149444,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0345123213274106,0.0391264085305482,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0361906259289013,0.0412246334112911,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.037951567967762,0.04338745577838,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0397935250915157,0.0456094621866114,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0416775075869716,0.0478399996242419,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0436175128963576,0.0500935121710546,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.045598261687431,0.0523532382523723,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0477439664818396,0.0547556982905755,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0500411888379279,0.0572795750503813,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0524004209410708,0.0598213905133672,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0548557232731074,0.0624161545359037,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0574303457140537,0.065086485095338,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0601087468444116,0.0678138813324737,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0630286352000199,0.0707324861030394,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0661216583685391,0.0737678154643414,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0693929167789039,0.0769207678398015,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0728906221174208,0.0802336771054683,,,False,,,,cv,10
A,smooth,csc_cox,competing,0.0766376757686268,0.0837235282933686,,,False,,,,cv,10
