panel,quantity,horizon_y,est,lo,hi,units
B,overlay:nhanes_stratum:female age 70-79,10.0,1.1210420583987857,8.83816146538343,20.10336337273586,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:male age 40-49,10.0,1.017982982670887,1.27672589084959,3.49693069766908,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:male age 50-59,10.0,1.0404189030572888,2.34754624992487,7.60553073505784,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:male age 60-69,10.0,1.0849250397839894,6.493444153082679,14.87886370479838,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:male age 70-79,10.0,1.1915157229978677,13.48830796108684,28.705231874664726,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 4,10.0,1.0150611987691427,0.67320406263792,2.94607793595586,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 5,10.0,1.0176423150516185,1.09093713525823,3.4343956020678803,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 6,10.0,1.0319347042464837,1.2756595540591,6.09798190424649,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 7,10.0,1.0420931146193386,2.0208101699158503,7.91256481935111,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 8,10.0,1.070425783705895,5.03178159329043,12.632997184253231,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 9,10.0,1.1119347287069234,6.701974748452449,18.95398711449078,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 10,10.0,1.1903930815061836,15.55431764519393,28.318816719008872,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 35-39,15.0,1.013026824954711,0.82146525916875,2.5536923178406,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 40-44,15.0,1.0244380829716313,1.41968273029417,4.70987236061774,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 45-49,15.0,1.0320483311013906,1.90530860613261,6.10546385428427,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 50-54,15.0,1.0493532227579954,3.0192048569768,9.1590998662156,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 55-59,15.0,1.0852730166802165,4.0866524603436805,15.06722473909011,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 60-64,15.0,1.1174881682553246,7.5544238390961596,19.6957410244727,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 65-69,15.0,1.158138024283306,10.91328882840612,24.914489702579832,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 70-74,15.0,1.2594847640816773,16.648827631689418,35.50639300896628,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 75-79,15.0,1.437705324656957,24.41168059616462,47.6981042561324,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:female age 40-49,15.0,1.025302430427783,1.46888894405855,4.8701344363646895,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:female age 50-59,15.0,1.0475156577836109,2.9550960683662497,8.84085181985954,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:female age 60-69,15.0,1.1080064143509043,6.882855389168969,18.36396430727071,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:female age 70-79,15.0,1.2698886244079408,16.766944958334857,36.48858104668548,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:male age 30-39,15.0,1.0124591706640067,0.74914754829874,2.44484087421352,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:male age 40-49,15.0,1.0310431436127234,1.85032878177964,5.9228156348614895,est = pooled inflation; lo = F1 (%); hi = F2 (%)
