panel,model,split,statistic,quantity,value,sd_seed,sd_imputation,sd_single_seed_run,n_seed,n_imp
B,deephit,cv,calib_intercept@10y,fmi,0.0519822700490783,0.2329263971641547,,,3.0,24.0
B,deephit,cv,calib_slope@10y,fmi,0.0327549987111309,0.1994226871085564,,,2.0,19.0
B,deephit,cv,ici@10y,fmi,0.0825477857355665,0.347576151568944,,,5.0,46.0
B,deephit,cv,e50@10y,fmi,0.0539829410714209,0.301739721633415,,,3.0,36.0
B,deephit,cv,e90@10y,fmi,0.0809485760008397,0.2851818811591465,,,5.0,33.0
B,deephit,cv,obs_concordant@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,eo_concordant@10y,fmi,0.0531099031905791,0.2994491203519061,,,3.0,36.0
B,deephit,cv,calib_intercept_concordant@10y,fmi,0.0519822700490783,0.2329263971641547,,,3.0,24.0
B,deephit,cv,calib_slope_concordant@10y,fmi,0.0327549987111309,0.1994226871085564,,,2.0,19.0
B,deephit,cv,ici_concordant@10y,fmi,0.0825477857355665,0.347576151568944,,,5.0,46.0
B,deephit,cv,e50_concordant@10y,fmi,0.0539829410714209,0.301739721633415,,,3.0,36.0
B,deephit,cv,e90_concordant@10y,fmi,0.0809485760008397,0.2851818811591465,,,5.0,33.0
B,deephit,cv,auc@10y,fmi,0.0251237652442992,0.0233580139191289,,,2.0,2.0
B,deephit,cv,cindex@10y,fmi,0.0224127178512745,0.0307069147764749,,,2.0,2.0
B,deephit,cv,auc_marginal_ipcw@10y,fmi,0.0221786125808698,0.0215968211138866,,,2.0,2.0
B,deephit,cv,cindex_marginal_ipcw@10y,fmi,0.0205204014489015,0.0178294283700935,,,2.0,2.0
B,deephit,cv,at_risk_fraction@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_at_0.01@10y,fmi,0.0032011538624672,0.0045175377058654,,,2.0,2.0
B,deephit,cv,nb_at_0.02@10y,fmi,0.0044315701814526,0.005516240546237,,,2.0,2.0
B,deephit,cv,nb_at_0.03@10y,fmi,0.0064297927549814,0.0137927614344498,,,2.0,2.0
B,deephit,cv,nb_at_0.05@10y,fmi,0.0103819689220862,0.0222646795843458,,,2.0,2.0
B,deephit,cv,nb_at_0.075@10y,fmi,0.0200549420730484,0.026599285900632,,,2.0,2.0
B,deephit,cv,nb_at_0.2@10y,fmi,0.1703605335783765,0.212641972506594,,,14.0,21.0
B,deephit,cv,frac_above_0.01@10y,fmi,0.6176061913937135,0.968856012682138,,,108.0,194.0
B,deephit,cv,frac_above_0.02@10y,fmi,0.5406232092884283,0.9403156939876364,,,89.0,187.0
B,deephit,cv,frac_above_0.03@10y,fmi,0.5596191837524175,0.9059076967995544,,,94.0,179.0
B,deephit,cv,frac_above_0.05@10y,fmi,0.4278233229283757,0.8892102641354619,,,63.0,175.0
B,deephit,cv,frac_above_0.075@10y,fmi,0.4965414323621013,0.9153506689631704,,,79.0,181.0
B,deephit,cv,frac_above_0.2@10y,fmi,0.7622208398982371,0.966806180207343,,,143.0,193.0
B,deephit,cv,nb_all_at_0.01@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.02@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.03@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.05@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.075@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.2@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,mean_pred@15y,fmi,0.4932962216645226,0.9428566061794692,,,78.0,188.0
B,deephit,cv,obs_cif@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,eo@15y,fmi,0.0491922435907857,0.324131095883949,,,3.0,41.0
B,deephit,cv,calib_intercept@15y,fmi,0.0444268633399406,0.2535832978943517,,,3.0,27.0
B,deephit,cv,calib_slope@15y,fmi,0.0442036435376594,0.1783323515752638,,,3.0,16.0
B,deephit,cv,ici@15y,fmi,0.0664300989762501,0.4041344670860662,,,4.0,58.0
B,deephit,cv,e50@15y,fmi,0.0516426894553382,0.3159954747397612,,,3.0,39.0
B,deephit,cv,e90@15y,fmi,0.0634861128459648,0.2968300152122928,,,4.0,35.0
B,deephit,cv,obs_concordant@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,eo_concordant@15y,fmi,0.0491922435907857,0.324131095883949,,,3.0,41.0
B,deephit,cv,calib_intercept_concordant@15y,fmi,0.0444268633399406,0.2535832978943517,,,3.0,27.0
B,deephit,cv,calib_slope_concordant@15y,fmi,0.0442036435376594,0.1783323515752638,,,3.0,16.0
B,deephit,cv,ici_concordant@15y,fmi,0.0664300989762501,0.4041344670860662,,,4.0,58.0
B,deephit,cv,e50_concordant@15y,fmi,0.0516426894553382,0.3159954747397612,,,3.0,39.0
B,deephit,cv,e90_concordant@15y,fmi,0.0634861128459648,0.2968300152122928,,,4.0,35.0
B,deephit,cv,auc@15y,fmi,0.0246972490678618,0.02639020058343,,,2.0,2.0
B,deephit,cv,cindex@15y,fmi,0.0505045790847477,0.0727770235276883,,,3.0,4.0
B,deephit,cv,auc_marginal_ipcw@15y,fmi,0.0144087880717234,0.021058658838419,,,2.0,2.0
B,deephit,cv,cindex_marginal_ipcw@15y,fmi,0.0121309803792246,0.0196238229701755,,,2.0,2.0
B,deephit,cv,at_risk_fraction@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_at_0.01@15y,fmi,0.0038996735432487,0.0058891714459585,,,2.0,2.0
B,deephit,cv,nb_at_0.02@15y,fmi,0.004891601818283,0.005259789901192,,,2.0,2.0
