panel,model,split,statistic,quantity,value,sd_seed,sd_imputation,sd_single_seed_run,n_seed,n_imp
B,deephit,temporal,auc@5y,fmi,0.049111875579242,0.1148666116827614,,,3.0,8.0
B,deephit,temporal,cindex@5y,fmi,0.0497240704407064,0.1165820671544829,,,3.0,8.0
B,deephit,temporal,auc_marginal_ipcw@5y,fmi,0.049111875579242,0.1148666116827614,,,3.0,8.0
B,deephit,temporal,cindex_marginal_ipcw@5y,fmi,0.0497240704407064,0.1165820671544829,,,3.0,8.0
B,deephit,temporal,at_risk_fraction@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_at_0.01@5y,fmi,0.0138220344731879,0.0269698987083142,,,2.0,2.0
B,deephit,temporal,nb_at_0.02@5y,fmi,0.0246094030405628,0.0553658419056929,,,2.0,3.0
B,deephit,temporal,nb_at_0.03@5y,fmi,0.0355032286248525,0.1130472146475344,,,2.0,8.0
B,deephit,temporal,nb_at_0.05@5y,fmi,0.1052160345516158,0.1770026681142917,,,7.0,15.0
B,deephit,temporal,nb_at_0.075@5y,fmi,0.1514936073190534,0.3411639447450784,,,12.0,44.0
B,deephit,temporal,nb_at_0.2@5y,fmi,0.6756723975676638,0.8646590027417422,,,122.0,168.0
B,deephit,temporal,frac_above_0.01@5y,fmi,0.8834583869914836,1.0466591630783222,,,173.0,
B,deephit,temporal,frac_above_0.02@5y,fmi,0.6526632444849917,1.0191361489447712,,,116.0,
B,deephit,temporal,frac_above_0.03@5y,fmi,0.651713980948301,1.0161835377601467,,,116.0,
B,deephit,temporal,frac_above_0.05@5y,fmi,0.6692869211399158,1.0174945405295883,,,120.0,
B,deephit,temporal,frac_above_0.075@5y,fmi,0.8010938187962454,1.0348377381455935,,,153.0,
B,deephit,temporal,frac_above_0.2@5y,fmi,0.7214988687212155,0.9690172469339604,,,133.0,194.0
B,deephit,temporal,nb_all_at_0.01@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.02@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.03@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.05@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.075@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.2@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,mean_pred@10y,fmi,0.6189674925518011,1.017768590600739,,,108.0,
B,deephit,temporal,obs_cif@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,eo@10y,fmi,0.0917593969558348,0.6278165349395265,,,6.0,110.0
B,deephit,temporal,calib_intercept@10y,fmi,0.1133491750279453,0.5707021032868675,,,8.0,96.0
B,deephit,temporal,calib_slope@10y,fmi,0.1505473844226359,0.3885735433134231,,,12.0,54.0
B,deephit,temporal,ici@10y,fmi,0.1654705965566648,0.7745002697553033,,,14.0,146.0
B,deephit,temporal,e50@10y,fmi,0.2681919074166116,0.6578612573399047,,,30.0,117.0
B,deephit,temporal,e90@10y,fmi,0.2137283942863983,0.7643047597873319,,,21.0,144.0
B,deephit,temporal,obs_concordant@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,eo_concordant@10y,fmi,0.0917593969558348,0.6278165349395265,,,6.0,110.0
B,deephit,temporal,calib_intercept_concordant@10y,fmi,0.1133491750279453,0.5707021032868675,,,8.0,96.0
B,deephit,temporal,calib_slope_concordant@10y,fmi,0.1505473844226359,0.3885735433134231,,,12.0,54.0
B,deephit,temporal,ici_concordant@10y,fmi,0.1654705965566648,0.7745002697553033,,,14.0,146.0
B,deephit,temporal,e50_concordant@10y,fmi,0.2681919074166116,0.6578612573399047,,,30.0,117.0
B,deephit,temporal,e90_concordant@10y,fmi,0.2137283942863983,0.7643047597873319,,,21.0,144.0
B,deephit,temporal,auc@10y,fmi,0.0264504006902122,0.0996297238966568,,,2.0,6.0
B,deephit,temporal,cindex@10y,fmi,0.0262837081507002,0.1028968736352612,,,2.0,7.0
B,deephit,temporal,auc_marginal_ipcw@10y,fmi,0.0269077415390187,0.1046213974610242,,,2.0,7.0
B,deephit,temporal,cindex_marginal_ipcw@10y,fmi,0.0264676797245248,0.1096495970430457,,,2.0,7.0
B,deephit,temporal,at_risk_fraction@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_at_0.01@10y,fmi,0.0051266684386289,0.016358860987018,,,2.0,2.0
B,deephit,temporal,nb_at_0.02@10y,fmi,0.0100669543045354,0.0302279609699702,,,2.0,2.0
B,deephit,temporal,nb_at_0.03@10y,fmi,0.0183405466402123,0.0334671948456306,,,2.0,2.0
B,deephit,temporal,nb_at_0.05@10y,fmi,0.0407325497007828,0.0729559553108127,,,2.0,4.0
B,deephit,temporal,nb_at_0.075@10y,fmi,0.0316903680410771,0.0884652665358433,,,2.0,5.0
B,deephit,temporal,nb_at_0.2@10y,fmi,0.129986651179412,0.4499558453041132,,,9.0,68.0
B,deephit,temporal,frac_above_0.01@10y,fmi,0.9419252281412496,1.0565030786714236,,,187.0,
B,deephit,temporal,frac_above_0.02@10y,fmi,0.8206277557382982,1.039175794808042,,,158.0,
B,deephit,temporal,frac_above_0.03@10y,fmi,0.7567885798126435,1.0211390132815,,,142.0,
B,deephit,temporal,frac_above_0.05@10y,fmi,0.556059062206009,1.004904987970562,,,93.0,
B,deephit,temporal,frac_above_0.075@10y,fmi,0.5479848550917051,0.9989071561721364,,,91.0,201.0
B,deephit,temporal,frac_above_0.2@10y,fmi,0.852271810775721,1.0349268884278056,,,165.0,
B,deephit,temporal,nb_all_at_0.01@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.02@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.03@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.05@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.075@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,nb_all_at_0.2@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,mean_pred@5y,fmi,0.8584773755292433,1.043731896716852,,,167.0,
B,nfg,temporal,obs_cif@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,eo@5y,fmi,0.1423465936496529,0.640603046043474,,,11.0,113.0
B,nfg,temporal,calib_intercept@5y,fmi,0.1056568718236212,0.5320316670814804,,,7.0,87.0
B,nfg,temporal,calib_slope@5y,fmi,0.0944779182908341,0.2591685820398007,,,6.0,28.0
B,nfg,temporal,ici@5y,fmi,0.2851537085558219,0.8050746498754693,,,33.0,154.0
B,nfg,temporal,e50@5y,fmi,0.2255455609397462,0.5706909168555087,,,23.0,96.0
B,nfg,temporal,e90@5y,fmi,0.2975076240920842,0.8693129237317087,,,36.0,170.0
B,nfg,temporal,obs_concordant@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,eo_concordant@5y,fmi,0.1423465936496529,0.640603046043474,,,11.0,113.0
B,nfg,temporal,calib_intercept_concordant@5y,fmi,0.1056568718236212,0.5320316670814804,,,7.0,87.0
B,nfg,temporal,calib_slope_concordant@5y,fmi,0.0944779182908341,0.2591685820398007,,,6.0,28.0
B,nfg,temporal,ici_concordant@5y,fmi,0.2851537085558219,0.8050746498754693,,,33.0,154.0
B,nfg,temporal,e50_concordant@5y,fmi,0.2255455609397462,0.5706909168555087,,,23.0,96.0
B,nfg,temporal,e90_concordant@5y,fmi,0.2975076240920842,0.8693129237317087,,,36.0,170.0
B,nfg,temporal,auc@5y,fmi,0.0566701244977215,0.1347532033670073,,,3.0,10.0
B,nfg,temporal,cindex@5y,fmi,0.0574270719351736,0.1358275149683136,,,3.0,10.0
B,nfg,temporal,auc_marginal_ipcw@5y,fmi,0.0566701244977215,0.1347532033670073,,,3.0,10.0
B,nfg,temporal,cindex_marginal_ipcw@5y,fmi,0.0574270719351736,0.1358275149683136,,,3.0,10.0
B,nfg,temporal,at_risk_fraction@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_at_0.01@5y,fmi,0.0155852415229113,0.0601815555747253,,,2.0,3.0
B,nfg,temporal,nb_at_0.02@5y,fmi,0.0420254188026795,0.0734223480073308,,,2.0,4.0
B,nfg,temporal,nb_at_0.03@5y,fmi,0.0587072734825793,0.134962121544982,,,3.0,10.0
B,nfg,temporal,nb_at_0.05@5y,fmi,0.1045858109757345,0.252866443339547,,,7.0,27.0
B,nfg,temporal,nb_at_0.075@5y,fmi,0.0927394247262172,0.3452428673588807,,,6.0,45.0
B,nfg,temporal,nb_at_0.2@5y,fmi,0.6528132692380569,0.97916083133237,,,116.0,196.0
B,nfg,temporal,frac_above_0.01@5y,fmi,0.8567515585950366,1.0380332527292784,,,167.0,
B,nfg,temporal,frac_above_0.02@5y,fmi,0.8279772507851522,1.033188074761213,,,159.0,
B,nfg,temporal,frac_above_0.03@5y,fmi,0.8143755115692228,1.0285878188787796,,,156.0,
B,nfg,temporal,frac_above_0.05@5y,fmi,0.835441898335942,1.033022763057887,,,161.0,
B,nfg,temporal,frac_above_0.075@5y,fmi,0.8183629606866621,1.0414111565215602,,,157.0,
B,nfg,temporal,frac_above_0.2@5y,fmi,0.6528132692380569,0.9879308675796008,,,116.0,199.0
B,nfg,temporal,nb_all_at_0.01@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.02@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.03@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.05@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.075@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.2@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,mean_pred@10y,fmi,0.8569421438045748,1.040721683245111,,,167.0,
B,nfg,temporal,obs_cif@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,eo@10y,fmi,0.2451918404582232,0.7765247264985532,,,26.0,147.0
B,nfg,temporal,calib_intercept@10y,fmi,0.1467804069353594,0.7073632950444378,,,11.0,130.0
B,nfg,temporal,calib_slope@10y,fmi,0.1392704836683889,0.3403644125245942,,,10.0,44.0
B,nfg,temporal,ici@10y,fmi,0.3790168168833877,0.8440864052234274,,,52.0,163.0
B,nfg,temporal,e50@10y,fmi,0.2927676949751981,0.5069859975237866,,,35.0,81.0
B,nfg,temporal,e90@10y,fmi,0.3255364690924424,0.8937532481763082,,,41.0,176.0
B,nfg,temporal,obs_concordant@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,eo_concordant@10y,fmi,0.2451918404582232,0.7765247264985532,,,26.0,147.0
B,nfg,temporal,calib_intercept_concordant@10y,fmi,0.1467804069353594,0.7073632950444378,,,11.0,130.0
B,nfg,temporal,calib_slope_concordant@10y,fmi,0.1392704836683889,0.3403644125245942,,,10.0,44.0
B,nfg,temporal,ici_concordant@10y,fmi,0.3790168168833877,0.8440864052234274,,,52.0,163.0
B,nfg,temporal,e50_concordant@10y,fmi,0.2927676949751981,0.5069859975237866,,,35.0,81.0
B,nfg,temporal,e90_concordant@10y,fmi,0.3255364690924424,0.8937532481763082,,,41.0,176.0
B,nfg,temporal,auc@10y,fmi,0.0253013097360341,0.089030391091379,,,2.0,5.0
B,nfg,temporal,cindex@10y,fmi,0.0256420226221489,0.0941578627231635,,,2.0,6.0
B,nfg,temporal,auc_marginal_ipcw@10y,fmi,0.025809784868492,0.0902647388579124,,,2.0,5.0
B,nfg,temporal,cindex_marginal_ipcw@10y,fmi,0.0256648025049897,0.0954960921994965,,,2.0,6.0
B,nfg,temporal,at_risk_fraction@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_at_0.01@10y,fmi,0.0050157970340868,0.0132248683965199,,,2.0,2.0
B,nfg,temporal,nb_at_0.02@10y,fmi,0.0154546275551419,0.0361442925214033,,,2.0,2.0
B,nfg,temporal,nb_at_0.03@10y,fmi,0.0151097542628544,0.0564039493431512,,,2.0,3.0
B,nfg,temporal,nb_at_0.05@10y,fmi,0.0373757283304448,0.0669469592226187,,,2.0,4.0
B,nfg,temporal,nb_at_0.075@10y,fmi,0.036717676419062,0.1561823813937317,,,2.0,13.0
B,nfg,temporal,nb_at_0.2@10y,fmi,0.1663019931357358,0.5452083440579918,,,14.0,90.0
B,nfg,temporal,frac_above_0.01@10y,fmi,0.9421113886478978,1.0420399944187706,,,187.0,
B,nfg,temporal,frac_above_0.02@10y,fmi,0.806638839160769,1.0197791794432944,,,154.0,
B,nfg,temporal,frac_above_0.03@10y,fmi,0.8153973438863957,1.022613443580819,,,156.0,
B,nfg,temporal,frac_above_0.05@10y,fmi,0.8216076925205246,1.0241450053105077,,,158.0,
B,nfg,temporal,frac_above_0.075@10y,fmi,0.8026124410937374,1.0269520055637575,,,153.0,
B,nfg,temporal,frac_above_0.2@10y,fmi,0.8809073597981787,1.051492041934479,,,172.0,
B,nfg,temporal,nb_all_at_0.01@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.02@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.03@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.05@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.075@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,nfg,temporal,nb_all_at_0.2@10y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
