model,pred_bin,pred,obs,n_imp,split,horizon_y
cox_naive,0,0.00174559843961583,4.536547298311039e-09,30,cv,15.0
cox_naive,1,0.002108440432288068,1.2420589485313055e-08,30,cv,15.0
cox_naive,2,0.002411746712461735,2.5532350125503613e-08,30,cv,15.0
cox_naive,3,0.0027129579634976816,4.850662220532184e-08,30,cv,15.0
cox_naive,4,0.0030008758588848513,8.356719627030292e-08,30,cv,15.0
cox_naive,5,0.0033021317575423537,1.4095651272614005e-07,30,cv,15.0
cox_naive,6,0.0035921018046408694,2.2251230243044675e-07,30,cv,15.0
cox_naive,7,0.0038690579429637426,3.347164855764066e-07,30,cv,15.0
cox_naive,8,0.004151646457805484,4.930500236952381e-07,30,cv,15.0
cox_naive,9,0.004431887641089364,7.085224166530285e-07,30,cv,15.0
cox_naive,10,0.004711775017728059,9.940801310016745e-07,30,cv,15.0
cox_naive,11,0.0050136163563667905,1.4045782051873445e-06,30,cv,15.0
cox_naive,12,0.005318521706283786,1.93893004894906e-06,30,cv,15.0
cox_naive,13,0.0056473229405876535,2.69209505517281e-06,30,cv,15.0
cox_naive,14,0.00597409963103136,3.6749845093029007e-06,30,cv,15.0
cox_naive,15,0.0063078598161703196,4.960938858248702e-06,30,cv,15.0
cox_naive,16,0.0066559947813951015,6.669815940592757e-06,30,cv,15.0
cox_naive,17,0.007006775011397379,8.817825590458196e-06,30,cv,15.0
cox_naive,18,0.007347810722877686,1.1400104862947636e-05,30,cv,15.0
cox_naive,19,0.007717620759276982,1.4859814870303732e-05,30,cv,15.0
cox_naive,20,0.008099112923224933,1.933605194921966e-05,30,cv,15.0
cox_naive,21,0.008496641627994583,2.5030109995333787e-05,30,cv,15.0
cox_naive,22,0.008915387726826407,3.239044876019016e-05,30,cv,15.0
cox_naive,23,0.009356712569599619,4.1844029453257874e-05,30,cv,15.0
cox_naive,24,0.009824432598562085,5.4172394462571726e-05,30,cv,15.0
cox_naive,25,0.010279436506537275,6.863093129178852e-05,30,cv,15.0
cox_naive,26,0.010756852067808758,8.684453175199133e-05,30,cv,15.0
cox_naive,27,0.011263676222798108,0.00011011367819623801,30,cv,15.0
cox_naive,28,0.011816933863690895,0.0001405622585084538,30,cv,15.0
cox_naive,29,0.012396202514686233,0.0001788655981956396,30,cv,15.0
cox_naive,30,0.012999566505979577,0.00022714978460684055,30,cv,15.0
cox_naive,31,0.013607239182500556,0.00028474048487702434,30,cv,15.0
cox_naive,32,0.014240022342937801,0.0003553845550045207,30,cv,15.0
cox_naive,33,0.014897948108965666,0.0004417459132045313,30,cv,15.0
cox_naive,34,0.015602619536492179,0.0005503230319982023,30,cv,15.0
cox_naive,35,0.016376431757026876,0.0006897464817936578,30,cv,15.0
cox_naive,36,0.017168334129371906,0.0008577016250874728,30,cv,15.0
cox_naive,37,0.017969760981780734,0.00105492454306956,30,cv,15.0
cox_naive,38,0.018808481759453436,0.0012928900172113826,30,cv,15.0
cox_naive,39,0.019710309631378698,0.0015871082879950896,30,cv,15.0
cox_naive,40,0.020642755448615477,0.0019358576315333677,30,cv,15.0
cox_naive,41,0.021608417054490174,0.0023473203756229446,30,cv,15.0
cox_naive,42,0.022671030659498825,0.0028594626120380822,30,cv,15.0
cox_naive,43,0.023799520699932984,0.0034757300775952603,30,cv,15.0
cox_naive,44,0.025052600048717108,0.004248947892866143,30,cv,15.0
cox_naive,45,0.026329897033714814,0.0051356108237670985,30,cv,15.0
cox_naive,46,0.02768455356518365,0.006181532535662183,30,cv,15.0
cox_naive,47,0.029120652363916106,0.007408461461693442,30,cv,15.0
cox_naive,48,0.030628688401934286,0.008818828801145559,30,cv,15.0
cox_naive,49,0.032145772579867136,0.010359557257336968,30,cv,15.0
cox_naive,50,0.033756644179845675,0.012118906453416078,30,cv,15.0
cox_naive,51,0.0354931526108592,0.014144814713947849,30,cv,15.0
cox_naive,52,0.03731869418611276,0.01640346112243335,30,cv,15.0
cox_naive,53,0.03923320223531435,0.018897892406983703,30,cv,15.0
cox_naive,54,0.04120657577977197,0.02158680579298842,30,cv,15.0
cox_naive,55,0.04325839284987236,0.024487882516739966,30,cv,15.0
cox_naive,56,0.045348042023489465,0.027533030298618946,30,cv,15.0
cox_naive,57,0.04759109960049809,0.030880978282325326,30,cv,15.0
