model,decile,n,mean_pred,obs_cif,obs_lo,obs_hi,n_events,at_risk_fraction,n_imp,split,horizon_y,flag_sparse
cox_naive,1,4115.0,0.001431337998958889,0.0014389817925479667,0.00023931386341835063,0.0029301170235833595,4.344444444444444,0.5312083164574051,30,cv,10.0,True
cox_naive,2,4115.0,0.002843088160112138,0.002818927284069461,0.0011226133582181714,0.004830581717618969,8.71111111111111,0.5173565546105036,30,cv,10.0,True
cox_naive,3,4115.666666666667,0.0046794748459303166,0.005264545411347065,0.002890398165072628,0.007952735831187845,16.58888888888889,0.5349855119582597,30,cv,10.0,False
cox_naive,4,4114.333333333333,0.007471531966630577,0.0063548699096984676,0.0037691671481848276,0.009224771193022542,20.933333333333334,0.5428664248872045,30,cv,10.0,False
cox_naive,5,4115.0,0.012041016828823513,0.012939363022552183,0.009129330357510589,0.01710092153905072,40.86666666666667,0.5377696773322532,30,cv,10.0,False
cox_naive,6,4115.9,0.019785769000496816,0.015360396904325615,0.01112540669063425,0.01991030199937572,48.022222222222226,0.5323285592660949,30,cv,10.0,False
cox_naive,7,4114.977777777778,0.03215621620645249,0.02899643181938932,0.023104882034887506,0.03522292747522648,88.07777777777778,0.520915429365901,30,cv,10.0,False
cox_naive,8,4114.122222222222,0.05252795652583462,0.05233292096213203,0.04451484643732894,0.06040184307350171,158.96666666666667,0.5649969923601024,30,cv,10.0,False
cox_naive,9,4115.0,0.08863154396586703,0.07895837089776976,0.06940676740274317,0.0888494855367092,242.2888888888889,0.5890373970568381,30,cv,10.0,False
cox_naive,10,4116.0,0.2023415395096137,0.16375365479259923,0.1508687823537244,0.17676151968206577,527.2,0.6540222438181622,30,cv,10.0,False
csc_cox,1,4115.0,0.00142535944907822,0.001435372842400832,0.00023828584806068675,0.0029208267600523115,4.333333333333333,0.5311975158633725,30,cv,10.0,True
csc_cox,2,4115.0,0.002823682331501927,0.002822320794651096,0.0011173437102006357,0.004860329950833824,8.722222222222221,0.5173835560955853,30,cv,10.0,True
csc_cox,3,4115.666666666667,0.004631797940828785,0.005277056612494701,0.002902179366649546,0.007965129842150366,16.622222222222224,0.5350179708134676,30,cv,10.0,False
csc_cox,4,4114.333333333333,0.007359823978286355,0.006310824266839785,0.0037388593317380227,0.009186792272659393,20.8,0.542861012776218,30,cv,10.0,False
csc_cox,5,4115.0,0.011772262982268534,0.012940463332663335,0.009091404000243653,0.017060459335265277,40.888888888888886,0.5376751721344674,30,cv,10.0,False
