model,decile,n,mean_pred,obs_cif,obs_lo,obs_hi,n_events,at_risk_fraction,n_imp,split,horizon_y,flag_sparse
cox_naive,1,4115.0,0.0005408998437580401,0.000297373514083919,0.0,0.0009154424472611318,1.0,0.7939813689752937,30,cv,5.0,True
cox_naive,2,4115.0,0.0010747733177231488,0.0010730188196772061,0.00017217205037833562,0.0022098662780726773,3.988888888888889,0.8042527339003646,30,cv,5.0,True
cox_naive,3,4115.655555555555,0.0017699069684146199,0.0017241659254939124,0.000548593388462413,0.003140152679049482,6.511111111111111,0.8040868295861229,30,cv,5.0,True
cox_naive,4,4114.344444444445,0.0028278512064523636,0.0032886953344255935,0.0016158920759588552,0.005230863763433843,12.4,0.8077080005321537,30,cv,5.0,True
cox_naive,5,4115.0,0.0045648067410439435,0.005786830218158893,0.0035274499366996226,0.008309472843129544,22.0,0.7936681517483462,30,cv,5.0,False
cox_naive,6,4115.788888888889,0.007517499009491212,0.006041994774406719,0.003743829187195649,0.008592793641637361,23.211111111111112,0.7955758821108339,30,cv,5.0,False
cox_naive,7,4115.0888888888885,0.012270645973435043,0.011217133778277124,0.007929879389666404,0.01472249510282028,40.94444444444444,0.7834419867416675,30,cv,5.0,False
cox_naive,8,4114.122222222222,0.0201787703021866,0.020831417155526315,0.016398400983833786,0.025508346148415864,76.41111111111111,0.7869020232670891,30,cv,5.0,False
cox_naive,9,4115.0,0.0344811705118596,0.030502401262028977,0.0251773316367905,0.03609121440255096,113.64444444444445,0.7947077089239909,30,cv,5.0,False
cox_naive,10,4116.0,0.08353080741288904,0.07875816905953047,0.07027374691043288,0.08746931853655043,292.8888888888889,0.8145772594752186,30,cv,5.0,False
csc_cox,1,4115.0,0.0005400556219971959,0.0002973696469223401,0.0,0.0009169388701043885,1.0,0.7940002700148509,30,cv,5.0,True
csc_cox,2,4115.0,0.0010720296732008704,0.0010730152934143756,0.0001747125414890922,0.0022248914087051467,3.988888888888889,0.8042257324152828,30,cv,5.0,True
csc_cox,3,4115.622222222222,0.001763158027863406,0.0017154123781457518,0.0005598807614792246,0.003123630041660646,6.477777777777778,0.804066315411196,30,cv,5.0,True
csc_cox,4,4114.377777777778,0.0028120086303386528,0.0033000197787672767,0.001633865201780969,0.005229202328767977,12.444444444444445,0.8077851503514754,30,cv,5.0,True
csc_cox,5,4115.0,0.004526487959232137,0.005810942015901195,0.0035234062337102905,0.008331249445760396,22.08888888888889,0.7935520453624949,30,cv,5.0,False
csc_cox,6,4115.866666666667,0.007422983127041891,0.0060454248007745185,0.0037450599152108375,0.008604672431086912,23.233333333333334,0.7955851299226705,30,cv,5.0,False
csc_cox,7,4114.944444444444,0.012041042410728366,0.011156056635979404,0.007906149421445902,0.0146304802014455,40.7,0.7836531031566212,30,cv,5.0,False
csc_cox,8,4114.188888888889,0.019614788582177373,0.020816306034020043,0.016359005630682637,0.02558654390177926,76.36666666666666,0.7866894111845086,30,cv,5.0,False
csc_cox,9,4115.0,0.03299465720127954,0.030685254647930416,0.02530567729043878,0.03634349100137099,114.37777777777778,0.7944079924395842,30,cv,5.0,False
csc_cox,10,4116.0,0.07582993505410293,0.07861269235710314,0.07014771068276741,0.08730537421895702,292.3222222222222,0.8149362919771084,30,cv,5.0,False
deephit,1,4115.0,0.0004378259193490154,0.0005861396628162035,1.2825705413797795e-06,0.0014617866405322857,2.0555555555555554,0.8112137167544214,30,cv,5.0,True
deephit,2,4115.0,0.0009155311530038598,0.0004126119662923901,0.0,0.0010738688175796194,1.6666666666666667,0.8125475901174565,30,cv,5.0,True
deephit,3,4115.644444444444,0.0015586266201884753,0.0012074395532298246,0.0002674704049929869,0.0023946775589242754,4.611111111111111,0.8058195921621171,30,cv,5.0,True
deephit,4,4114.355555555556,0.002528668689726709,0.0036699075596201692,0.0018534940200219745,0.005730509389620278,13.4,0.7943514684994598,30,cv,5.0,True
