model,pred_bin,pred,obs,n_imp,split,horizon_y
cox_naive,0,0.00030075527335955357,1.1813646218201197e-05,30,cv,5.0
cox_naive,1,0.00036190863786923305,1.7400254311689738e-05,30,cv,5.0
cox_naive,2,0.0004162245014758959,2.3510828641095906e-05,30,cv,5.0
cox_naive,3,0.0004676242419036849,3.0230486309601455e-05,30,cv,5.0
cox_naive,4,0.0005180491092224497,3.7681168234529295e-05,30,cv,5.0
cox_naive,5,0.0005700436231412824,4.628288830843418e-05,30,cv,5.0
cox_naive,6,0.0006216558407904104,5.5822145150700536e-05,30,cv,5.0
cox_naive,7,0.0006715833530576743,6.602838943254493e-05,30,cv,5.0
cox_naive,8,0.0007201176564987319,7.681615643878839e-05,30,cv,5.0
cox_naive,9,0.000766910356196224,8.816364585837702e-05,30,cv,5.0
cox_naive,10,0.0008170996902769999,0.00010122905735119315,30,cv,5.0
cox_naive,11,0.0008702024016228835,0.00011620851770017691,30,cv,5.0
cox_naive,12,0.0009266674761167582,0.00013333988594845555,30,cv,5.0
cox_naive,13,0.0009836398687594517,0.00015181039933756955,30,cv,5.0
cox_naive,14,0.0010395364185718408,0.00017133917820238986,30,cv,5.0
cox_naive,15,0.0010988375153056173,0.00019334447700199,30,cv,5.0
cox_naive,16,0.0011580361169205185,0.0002168473135382771,30,cv,5.0
cox_naive,17,0.001220105838028261,0.00024289734583835172,30,cv,5.0
cox_naive,18,0.001284681380555807,0.0002716896148630379,30,cv,5.0
cox_naive,19,0.0013494744172850542,0.00030219680933189926,30,cv,5.0
cox_naive,20,0.0014149599708420865,0.00033481589256733425,30,cv,5.0
cox_naive,21,0.0014849908653519405,0.0003716277535628877,30,cv,5.0
cox_naive,22,0.001559345582908901,0.0004127915649599862,30,cv,5.0
cox_naive,23,0.0016379004897785281,0.0004585027033949326,30,cv,5.0
cox_naive,24,0.0017176608030314026,0.0005073046764049947,30,cv,5.0
cox_naive,25,0.0017961922081447292,0.0005576853837085566,30,cv,5.0
cox_naive,26,0.0018799604077187513,0.0006139160059280046,30,cv,5.0
cox_naive,27,0.001971506585971287,0.0006780160991376251,30,cv,5.0
cox_naive,28,0.0020674100866858603,0.0007482851365041577,30,cv,5.0
cox_naive,29,0.002167511782897983,0.0008251655049766634,30,cv,5.0
cox_naive,30,0.0022703140884411726,0.0009076922017908341,30,cv,5.0
cox_naive,31,0.002380980646643537,0.0010003504528440837,30,cv,5.0
cox_naive,32,0.0024941744305395897,0.0010988272454752978,30,cv,5.0
cox_naive,33,0.002606510297673209,0.001200515611636927,30,cv,5.0
cox_naive,34,0.0027319637741239308,0.0013182653679908525,30,cv,5.0
cox_naive,35,0.002868812522121913,0.0014515745480783073,30,cv,5.0
cox_naive,36,0.003012962164328228,0.0015971569498303324,30,cv,5.0
cox_naive,37,0.003152357209057589,0.0017426195357621145,30,cv,5.0
cox_naive,38,0.0033003196592490416,0.0019020104133926964,30,cv,5.0
cox_naive,39,0.0034581090603298626,0.002077102324785513,30,cv,5.0
cox_naive,40,0.003622562448054268,0.0022650987996882476,30,cv,5.0
cox_naive,41,0.0037954814495638916,0.002468127555788285,30,cv,5.0
cox_naive,42,0.003981498162804912,0.002692028326048457,30,cv,5.0
cox_naive,43,0.004185534857353194,0.0029435010279975464,30,cv,5.0
cox_naive,44,0.004399373426031565,0.0032131884998162588,30,cv,5.0
cox_naive,45,0.004622674624056453,0.003500475343892895,30,cv,5.0
cox_naive,46,0.004865176556402323,0.003818067819312692,30,cv,5.0
cox_naive,47,0.005128335004221568,0.0041681451036143366,30,cv,5.0
cox_naive,48,0.005386685927466311,0.004516169573801406,30,cv,5.0
cox_naive,49,0.0056584261505227456,0.004885778741128722,30,cv,5.0
cox_naive,50,0.005945204840010917,0.005278475907697761,30,cv,5.0
cox_naive,51,0.006248910544069844,0.0056962346304181176,30,cv,5.0
cox_naive,52,0.006585159128016704,0.006160014120844299,30,cv,5.0
cox_naive,53,0.006931725287232683,0.006638592407294925,30,cv,5.0
cox_naive,54,0.00728413376019599,0.007124636157776379,30,cv,5.0
cox_naive,55,0.0076465358467760975,0.007623577700123728,30,cv,5.0
cox_naive,56,0.008018695468456585,0.008133985532375682,30,cv,5.0
cox_naive,57,0.008420591834819786,0.008682206255745915,30,cv,5.0
cox_naive,58,0.008825367643073595,0.009231027662061863,30,cv,5.0
cox_naive,59,0.009258361352214053,0.009813662279833357,30,cv,5.0
cox_naive,60,0.009721199264749054,0.01043080527489928,30,cv,5.0
cox_naive,61,0.010199636192553764,0.011061887171314457,30,cv,5.0
cox_naive,62,0.010724073363581896,0.011746556409567264,30,cv,5.0
cox_naive,63,0.01126669978338869,0.012445395036353574,30,cv,5.0
cox_naive,64,0.011836702950077448,0.01316988833631044,30,cv,5.0
