model,decile,n,mean_pred,obs_cif,obs_lo,obs_hi,n_events,at_risk_fraction,n_imp,split,horizon_y,flag_sparse
cox_naive,1,4115.0,0.003042965967662216,0.005068781714192739,0.0019730810344776644,0.008828560304447026,9.28888888888889,0.28880788443364386,30,cv,15.0,True
cox_naive,2,4115.0,0.006038375681723924,0.004136260505599005,0.0017607458043989996,0.006959390076399248,10.766666666666667,0.2661482381530984,30,cv,15.0,True
cox_naive,3,4115.688888888889,0.009925801323089425,0.009358726047774062,0.005431765511588087,0.013871599188699192,22.133333333333333,0.2910731201003227,30,cv,15.0,False
cox_naive,4,4114.311111111111,0.015818616545872206,0.013092231250259455,0.008459437631420074,0.018228993228293005,31.544444444444444,0.28545075776445294,30,cv,15.0,False
cox_naive,5,4115.0,0.025430715885499888,0.02218692442991667,0.01614235415460377,0.028725826190307138,54.144444444444446,0.28929931146213045,30,cv,15.0,False
cox_naive,6,4115.9111111111115,0.04159211301205945,0.029445684645329873,0.02231509229462479,0.03694946325583218,69.88888888888889,0.3039423972254334,30,cv,15.0,False
cox_naive,7,4114.888888888889,0.0671362035312857,0.05088599416915937,0.041553270467239924,0.06080202255417596,119.74444444444444,0.31592858850662137,30,cv,15.0,False
cox_naive,8,4114.2,0.10837868977260748,0.09925350864401913,0.08632350709625926,0.1127763500489642,230.51111111111112,0.37385152884915723,30,cv,15.0,False
cox_naive,9,4115.0,0.17885654602213805,0.15863829548438377,0.1428062067385544,0.1747222050996145,367.6222222222222,0.43096260294316185,30,cv,15.0,False
cox_naive,10,4116.0,0.372379742559967,0.25034335917651024,0.23229576389565787,0.26855494612291003,661.3555555555556,0.5340055069646906,30,cv,15.0,False
csc_cox,1,4115.0,0.0030172289722046794,0.005077034580397968,0.00196664050416813,0.008856446134631246,9.3,0.28878898339408665,30,cv,15.0,True
csc_cox,2,4115.0,0.005955045912178603,0.004123708121997923,0.00178516857114989,0.0069483726964870325,10.744444444444444,0.2662130417172945,30,cv,15.0,True
csc_cox,3,4115.666666666667,0.009721848822001137,0.009330478239899583,0.005374487263880808,0.013927081175376848,22.044444444444444,0.29114767070206354,30,cv,15.0,False
csc_cox,4,4114.333333333333,0.015343155838412474,0.013236985096721176,0.008572866071848515,0.01841270864326591,31.711111111111112,0.28550865015611837,30,cv,15.0,False
csc_cox,5,4115.0,0.024296243132822182,0.022127835543767866,0.01617229430734298,0.02865176686386755,54.24444444444445,0.2893101120561631,30,cv,15.0,False
csc_cox,6,4115.8,0.0388463823093858,0.029344276572980412,0.022321412606056888,0.036910507359381166,69.97777777777777,0.3040316510410988,30,cv,15.0,False
csc_cox,7,4115.066666666667,0.06066930122262355,0.05074616211104689,0.041417062268599314,0.06056179919545188,118.82222222222222,0.3164360972502935,30,cv,15.0,False
csc_cox,8,4114.133333333333,0.0932619198361532,0.10133710658893992,0.08832749969345148,0.11506169091408033,235.16666666666666,0.37472720591270825,30,cv,15.0,False
csc_cox,9,4115.0,0.142434649649611,0.15716642785571977,0.1412713934765082,0.17337605954519095,365.18888888888887,0.4328041042257324,30,cv,15.0,False
csc_cox,10,4116.0,0.24813018910802262,0.24949528988253084,0.2317097963629251,0.26775259481059543,659.8,0.5305042651981428,30,cv,15.0,False
deephit,1,4115.0,0.002726724241604449,0.004739495353558693,0.0018662116031582,0.008217079666672086,9.3,0.29649790738490617,30,cv,15.0,True
deephit,2,4115.0,0.004968858270906137,0.0042069700834524056,0.0016985790483532218,0.007304274851683136,9.833333333333334,0.2791899554475496,30,cv,15.0,True
deephit,3,4115.555555555556,0.007911412134758333,0.0077505295181704015,0.004152355068958858,0.011839612554670448,18.233333333333334,0.27922251467270937,30,cv,15.0,False
deephit,4,4114.444444444444,0.012425437850756805,0.012972854344872949,0.008228315369134282,0.018257719901341996,30.211111111111112,0.28441813276395245,30,cv,15.0,False
