model,pred_bin,pred,obs,n_imp,split,horizon_y
cox_naive,0,0.00038253661755065606,6.469501304821416e-07,30,temporal,5.0
cox_naive,1,0.0004537181087741679,1.104354559877674e-06,30,temporal,5.0
cox_naive,2,0.0005171992102210606,1.6719397893235251e-06,30,temporal,5.0
cox_naive,3,0.000588324755225536,2.513378751493415e-06,30,temporal,5.0
cox_naive,4,0.0006500257820802601,3.4522424909422254e-06,30,temporal,5.0
cox_naive,5,0.0007115929510299179,4.6166726012208946e-06,30,temporal,5.0
cox_naive,6,0.0007685314788567882,5.892514764793688e-06,30,temporal,5.0
cox_naive,7,0.0008261644225830718,7.569352968876212e-06,29,temporal,5.0
cox_naive,8,0.0008830412801012255,9.069804715289287e-06,29,temporal,5.0
cox_naive,9,0.0009405123206570426,1.1281048000721939e-05,30,temporal,5.0
cox_naive,10,0.0009986746344241364,1.3667406741657561e-05,30,temporal,5.0
cox_naive,11,0.001062215670227035,1.665306672373005e-05,30,temporal,5.0
cox_naive,12,0.0011239289811610627,2.030880388365445e-05,29,temporal,5.0
cox_naive,13,0.0011866228242520401,2.3500021472348346e-05,29,temporal,5.0
cox_naive,14,0.0012523223259753803,2.83417106937837e-05,30,temporal,5.0
cox_naive,15,0.0013197731611748753,3.353206792079399e-05,30,temporal,5.0
cox_naive,16,0.0013952270494196196,4.0124885461031066e-05,30,temporal,5.0
cox_naive,17,0.0014639475686743428,4.67888021256709e-05,30,temporal,5.0
cox_naive,18,0.0015381138525806066,5.47760168395639e-05,30,temporal,5.0
cox_naive,19,0.0016155851917230748,6.410703366614608e-05,30,temporal,5.0
cox_naive,20,0.0017018484537765209,7.554977258232473e-05,30,temporal,5.0
cox_naive,21,0.0017851677116719246,8.794225797951195e-05,30,temporal,5.0
cox_naive,22,0.0018667717656196492,0.00010130903989895209,30,temporal,5.0
cox_naive,23,0.0019643009485721275,0.00011880299432766768,30,temporal,5.0
