file,source_url,bytes_repo,bytes_fresh,sha256_repo,sha256_fresh,identical,http_status,retrieved_utc
RXQ_RX_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/RXQ_RX_B.XPT,3594240,3594240,221450bde49dbcf22383b7d9df04bf9beddb62e4e363fb4ff7c63e484129ef40,221450bde49dbcf22383b7d9df04bf9beddb62e4e363fb4ff7c63e484129ef40,true,200,2026-09-04T06:32:55Z
DEMO_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.XPT,3569840,3569840,2a2fdb88263337bfa06f0516bfb419631595f0a0ee88fb96069bed13d1857c6f,2a2fdb88263337bfa06f0516bfb419631595f0a0ee88fb96069bed13d1857c6f,true,200,2026-09-04T06:32:56Z
BPX_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/BPX_C.XPT,2319280,2319280,4df5a7dbd9e3b882b34ad516e80d09abbd0688a46d011711e7f9cdecf53ece36,4df5a7dbd9e3b882b34ad516e80d09abbd0688a46d011711e7f9cdecf53ece36,true,200,2026-09-04T06:32:57Z
BMX_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/BMX_C.XPT,2551120,2551120,b3d3e431b5964ea8b5807035044322fcf32f3878d814d4a844204e51c793f090,b3d3e431b5964ea8b5807035044322fcf32f3878d814d4a844204e51c793f090,true,200,2026-09-04T06:32:58Z
TCHOL_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L13_C.XPT,343680,343680,d62321a2f8b5b949a4898e89d4010c67c0425ecd5fb2632c0d56999ae8bbdb69,d62321a2f8b5b949a4898e89d4010c67c0425ecd5fb2632c0d56999ae8bbdb69,true,200,2026-09-04T06:32:59Z
HDL_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L13_C.XPT,343680,343680,d62321a2f8b5b949a4898e89d4010c67c0425ecd5fb2632c0d56999ae8bbdb69,d62321a2f8b5b949a4898e89d4010c67c0425ecd5fb2632c0d56999ae8bbdb69,true,200,2026-09-04T06:32:59Z
GHB_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L10_C.XPT,112880,112880,423d73cdd3d37e07b6bbd506bd3d2f39ce5700eebd495fc59e57337a07e122b3,423d73cdd3d37e07b6bbd506bd3d2f39ce5700eebd495fc59e57337a07e122b3,true,200,2026-09-04T06:33:00Z
DIQ_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DIQ_C.XPT,1314880,1314880,e64a1db590d733c812359abb0da6fdc3f20860ec3f89aec24442df994e90befe,e64a1db590d733c812359abb0da6fdc3f20860ec3f89aec24442df994e90befe,true,200,2026-09-04T06:33:00Z
SMQ_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/SMQ_C.XPT,1932320,1932320,fbfe1e4b286ab43fdc3fd84c3830bb241b8b5ca84b3ab5902b8808e4136efc2c,fbfe1e4b286ab43fdc3fd84c3830bb241b8b5ca84b3ab5902b8808e4136efc2c,true,200,2026-09-04T06:33:02Z
BIOPRO_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L40_C.XPT,2074960,2074960,a5642b8aa6e90ee0961562572f7152d47df67a318dd41cb164e3a2fe4aaaae4d,a5642b8aa6e90ee0961562572f7152d47df67a318dd41cb164e3a2fe4aaaae4d,true,200,2026-09-04T06:33:02Z
ALB_CR_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L16_C.XPT,320720,320720,577f7ca1af1b146c9eba640b8a5a2b33de731d97cb40de91d07b49df9b1545b4,577f7ca1af1b146c9eba640b8a5a2b33de731d97cb40de91d07b49df9b1545b4,true,200,2026-09-04T06:33:03Z
BPQ_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/BPQ_C.XPT,1795120,1795120,b31db89674d59073106581ed41c265c387a70000dce0cb984a865e82cd9b63a0,b31db89674d59073106581ed41c265c387a70000dce0cb984a865e82cd9b63a0,true,200,2026-09-04T06:33:04Z
